"title","stars","text","publishedAtDate","likesCount","name","reviewerNumberOfReviews","isLocalGuide","responseFromOwnerDate","responseFromOwnerText","originalLanguage","publishAt","rating","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewOrigin","reviewUrl","reviewerId","reviewerPhotoUrl","reviewerUrl","textTranslated","translatedLanguage","visitedIn","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewContext/Positive","reviewContext/Services","reviewContext/Negative","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19"
"Little Woods Montessori","5","We are so grateful that our son's first school experience was with Little Woods. We visited 16 Montessori schools to select the best and most authentic Montessori school and Little Woods was the best one. Pro: School Director's teacher learned directly from Maria Montessori in Sri Lanka (the closest lineage one could find), aircon, loving, kind and passionated teachers, fun outdoor space with cars, tricycle and garden, clean, quality montessori equipments, wonderful yearly show for all classes, comprehensive quarterly reports, communication app, regular photo reports).","2024-08-06T10:15:37.546Z","0","Sandrine Dreeny","96","true","2025-05-27T06:45:37.000Z","Thank you for your kind and generous words. It truly means a lot to us that you entrusted Little Woods with your son’s first school experience, especially after such a thoughtful and dedicated search.
We are grateful and happy to know your family feels the love, thoughtfulness, and joy we aim to bring to Little Woods daily.","en","a year ago",,"ChdDSUhNMG9nS0VJQ0FnSURiNFpHV2hRRRAB",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURiNFpHV2hRRRAB!2m1!1s0x0:0x4da888bd56e126d5!3m1!1s2@1:CIHM0ogKEICAgIDb4ZGWhQE%7CCgwIye_HtQYQsOrghAI%7C?hl=en-US","117710235306294098183","https://lh3.googleusercontent.com/a-/ALV-UjXhMvEKDYQmFdaB1pkpFgk0T7bgg-JcqdKbQyU9JMDOOlgAvPo=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/117710235306294098183?hl=en-US",,,,,,,,,,,,,,,,,,,,,,,
"Little Woods Montessori","5","We’ve enrolled our youngest child in LWM once we arrived in Singapore. It’s been nearly two years and we highly recommend. The teachers are warm, caring and well-rounded. My daughter loves going to school each day and enjoys her time there.","2024-07-23T07:29:53.340Z","0","Jamie Kacich","9","false","2025-05-27T06:54:21.000Z","Thank you for your lovely review. It means so much to know your daughter enjoyed her time with us and that our team made a lasting impression. We truly appreciate your kind words and support.","en","a year ago",,"ChZDSUhNMG9nS0VJQ0FnSUNidUx1RFB3EAE",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNidUx1RFB3EAE!2m1!1s0x0:0x4da888bd56e126d5!3m1!1s2@1:CIHM0ogKEICAgICbuLuDPw%7CCgwI8bf9tAYQ4MiVogE%7C?hl=en-US","110772309667273627581","https://lh3.googleusercontent.com/a/ACg8ocJIR-f6N7ei_MwZ7SKxcxmF_hZtUBmQ9mku96JlvMCuxWIxyg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/110772309667273627581?hl=en-US",,,,,,,,,,,,,,,,,,,,,,,
"Little Woods Montessori","5","LWM is a fantastic school.  We did not want a place that would be too heavy with academics on an 18-month-old but rather a place that would teach our daughter how to socialize, learn about the world, make friendships and have the type of school experience every 18-month-old should have.  We got that and more.  Such caring teachers and administrators, a bright friendly atmosphere and a focus on excellence in what they do, makes LWM a great place.  Highly recommended.","2020-03-18T04:03:40.584Z","0","Martin Alintuck","1","false","2025-05-27T07:00:20.000Z","Thank you for your thoughtful review. We are glad Little Woods could offer the warm, balanced start you were seeking for your daughter. We appreciate your recommendation.","en","5 years ago",,"ChdDSUhNMG9nS0VJQ0FnSUNjbGEySzhBRRAB",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNjbGEySzhBRRAB!2m1!1s0x0:0x4da888bd56e126d5!3m1!1s2@1:CIHM0ogKEICAgICcla2K8AE%7CCgwInLvG8wUQ8Lj5lgI%7C?hl=en-US","100500015710237687326","https://lh3.googleusercontent.com/a/ACg8ocIWsjUtrGF28TBTtkjpCfYHoYicqyThekgNX_JeTu92Magrcg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/100500015710237687326?hl=en-US",,,,,,,,,,,,,,,,,,,,,,,
"Little Woods Montessori","5","I had stalled sending my son (second child) to preschool after we moved to Singapore simply because I could not find a preschool that was as wonderful as the school his older sister had attended in our home country. I visited what seemed like every single preschool in our area and none of them ""clicked"" for me. That was until I visited Little Woods Montessori in Gentle Road. From the moment I stepped into the light, bright and beautiful ground-floor converted home - I knew I had finally found my son's preschool! The surroundings are so wonderful for a young child, it really feels like a home away from home rather than a learning institution. I was most impressed that day by witnessing what the children were doing. The activities are so wonderful for the body and mind. My son has absolutely thrived at Little Woods Montessori over the past two years. His fine motor skills are absolutely amazing and his knowledge of the world is beyond his years! The teaching and environment has been so incredibly nurturing. It is wonderful that they get to play outside on the grass playground in the fresh air every day! I have always felt that my son has been in safe hands and the teacher to student ratio is very low so they really get to know your child so well. As a family we have greatly enjoyed the Open House exhibitions over the years and have been amazed by what our son has created. Our only regret has been that we did not keep our son at Little Woods the whole way through until Age 6. We moved him after two years to his older sister's international school for the sake of convenience. At the international school, he is just a ""number"" and I have now realised just how incredibly high the teaching standards and care were at Little Woods! So I would have two pieces of advice for anyone wishing to send their child to a preschool in Singapore: First, you cannot go past Little Woods Montessori for the environment and quality of teaching and care. Second: Leave your child at Little Woods for as long as you can, you will find the standards of teaching and care at the ""big"" or international schools do not compare! We miss Little Woods so much and are very thankful for the incredible time our son has had there and for all of the valuable things that he has learnt.","2020-02-27T03:20:06.241Z","0","Nicola Peck","8","false","2025-05-27T07:12:04.000Z","Thank you for your heartfelt review. We are grateful for your trust and glad your son flourished at Little Woods. It means a great deal to know that the environment, teaching, and care left such a lasting impression. We remember your family fondly and are thankful to have been part of his early years.","en","5 years ago",,"ChZDSUhNMG9nS0VJQ0FnSURzX096dlhREAE",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURzX096dlhREAE!2m1!1s0x0:0x4da888bd56e126d5!3m1!1s2@1:CIHM0ogKEICAgIDs_OzvXQ%7CCgsI5urc8gUQqKKqcw%7C?hl=en-US","118398040512301016055","https://lh3.googleusercontent.com/a/ACg8ocLQnzzL6ZIXNnmOHBPC7ZSrD8vN1CC7iSkX7UjyRvQpWJAT3w=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/118398040512301016055?hl=en-US",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","1",,"2025-07-23T04:01:19.459Z","0","Ecko","30","true",,,,"a month ago",,"Ci9DQUlRQUNvZENodHljRjlvT2kxb1NIUjFTWFUwYlRCdFNUZzNORlJWZEVoeVMxRRAB",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2kxb1NIUjFTWFUwYlRCdFNUZzNORlJWZEVoeVMxRRAB!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CAIQACodChtycF9oOi1oSHR1SXU0bTBtSTg3NFRVdEhyS1E%7C0cV4uEQOHEX%7C?hl=en","117629969258739989692","https://lh3.googleusercontent.com/a-/ALV-UjVmKwBF1kyiePchj61IPni_Y_QtEDfH0SkFqQbu76n_FHK87rM=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/117629969258739989692?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","5",,"2025-07-20T13:09:38.537Z","0","Edmund wu","14","true",,,,"a month ago",,"Ci9DQUlRQUNvZENodHljRjlvT21ocFRISllaM1Y2Y0MxNFVYSmhhV3BzU1RoblMwRRAB",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21ocFRISllaM1Y2Y0MxNFVYSmhhV3BzU1RoblMwRRAB!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CAIQACodChtycF9oOmhpTHJYZ3V6cC14UXJhaWpsSThnS0E%7C0cUDeHV0WA3%7C?hl=en","107177697007819005210","https://lh3.googleusercontent.com/a-/ALV-UjV6kHtd1pstMmaTfFr36mg6A9F-R9yB7_q0Y21xggcdM__fN247=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/107177697007819005210?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","5","Tired of staying in the city center? This resort is the perfect getaway!

After a 1h transit from the far East of Singapore, you can disconnect from the world in a place where signals literally cannot reach! Let your mind and body recharge with the relaxing view of the rainforest for as far as the eye can see, and enjoy ready-made meals designed to optimize nutritional content! At night, you can enter a deep, peaceful slumber to the soothing sounds of machine gun fire and grenades.

There are plenty of activities to keep you entertained! From the concrete running track in the middle of an unsheltered field, to the swimming pool that is chlorinated on a regular basis, you'll find yourself in top physical shape in no time! You can interact with exotic wildlife, such as monitor lizards, centipedes, mangrove vipers and even king cobras! You'll also have plenty of abandoned buildings to explore at night, just don't get too friendly with any of the residents.

All these and more, for the low, low price of your hair, your NRIC, and your freedom. Book your stay now!","2025-07-03T04:34:27.627Z","0","Dawei Zhang","10","true",,,"en","a month ago",,"Ci9DQUlRQUNvZENodHljRjlvT2xab1ltaFFkMVJVZERsM00xTmlPWEZ2V0V0TWJXYxAB",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xab1ltaFFkMVJVZERsM00xTmlPWEZ2V0V0TWJXYxAB!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CAIQACodChtycF9oOlZoYmhQd1RUdDl3M1NiOXFvWEtMbWc%7C0cOVWI_PMHV%7C?hl=en","115493905465969994036","https://lh3.googleusercontent.com/a/ACg8ocImufPGh_k3u_NhTdUKJ4PWQD2txVwF7yRSQKygyZQ__aNH=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/115493905465969994036?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","3","This was where my bmt was in 1990. Lots of memories but none pleasant","2025-06-26T00:32:33.351Z","0","Risk Management Leader Manager","1","false",,,"en","2 months ago",,"Ci9DQUlRQUNvZENodHljRjlvT2tWeFQyUmhhM1pXYUZoR1kzaE5SV1pQTFVkdllYYxAB",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tWeFQyUmhhM1pXYUZoR1kzaE5SV1pQTFVkdllYYxAB!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CAIQACodChtycF9oOkVxT2Rha3ZWaFhGY3hNRWZPLUdvYXc%7C0cM8JWJvRNs%7C?hl=en","111682304529382595093","https://lh3.googleusercontent.com/a/ACg8ocJ6i9t6oQpo0f3U02GPGbGOlScwvDCLmE8EXtrEE_2a8l3i3A=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/111682304529382595093?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","1","PTSD","2025-05-13T09:24:21.989Z","0","David Lee","62","true",,,"en","3 months ago",,"ChZDSUhNMG9nS0VNMkF5cnFLNzhyMVBREAE",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VNMkF5cnFLNzhyMVBREAE!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CIHM0ogKEM2AyrqK78r1PQ%7CCgwIxZ-MwQYQuJTY1wM%7C?hl=en","106483448210801544426","https://lh3.googleusercontent.com/a-/ALV-UjWrPO9xtocxY0E-NfASpZKtq8giiyArYRCcrjosJ1-rHE_kWSAV=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/106483448210801544426?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","5",,"2025-04-17T00:20:40.449Z","0","Bijaya Gurung","0","false",,,,"4 months ago",,"ChdDSUhNMG9nS0VJQ0FnTUNvOW9yVG1RRRAB",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvOW9yVG1RRRAB!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CIHM0ogKEICAgMCo9orTmQE%7CCgwI2JKBwAYQwI2p1gE%7C?hl=en","102014581520729277765","https://lh3.googleusercontent.com/a/ACg8ocIKUy92u02f9eBS7FZ321wpBR2hVpdMJSS1jXma723uvOrdKg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/102014581520729277765?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","5","best resort","2025-04-07T09:56:24.955Z","0","Yangj Jign xiang","1","false",,,"en","4 months ago",,"ChdDSUhNMG9nS0VJQ0FnTURJNVBtdXhRRRAB",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURJNVBtdXhRRRAB!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CIHM0ogKEICAgMDI5PmuxQE%7CCgwIyMLOvwYQ4Lu_xwM%7C?hl=en","115569364391573906796","https://lh3.googleusercontent.com/a/ACg8ocJXpHdPtSRZ4Qv1kgH7ugwS4WbfKitI-RivFrXjqYLWFyLBbQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/115569364391573906796?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","5","Hell yeah","2025-02-08T14:04:16.652Z","0","yazawa neega","28","true",,,"en","6 months ago",,"ChdDSUhNMG9nS0VJQ0FnTURBeG9URXN3RRAB",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURBeG9URXN3RRAB!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CIHM0ogKEICAgMDAxoTEswE%7CCgwI4MidvQYQ0OH-tgI%7C?hl=en","102641753270243500589","https://lh3.googleusercontent.com/a-/ALV-UjV83lZFjqB6oumavM1O2bGZiaJJ_fHlGWhDPuw491E34RdXBVa7=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/102641753270243500589?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","1",,"2025-01-04T11:49:13.300Z","0","Asher MacLaren","1","false",,,,"7 months ago",,"ChdDSUhNMG9nS0VJQ0FnSURmekt1WTZBRRAB",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURmekt1WTZBRRAB!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CIHM0ogKEICAgIDfzKuY6AE%7CCgwIucDkuwYQkMagjwE%7C?hl=en","101290227348398216915","https://lh3.googleusercontent.com/a/ACg8ocIRkpv-s5JsCFHCI-np48pGrhAvg9iYOcFoufdrUg_bFjHj0g=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/101290227348398216915?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","2","cool military school this is where i joined the singapore military but i have to only give it two starts because i could hear li chung rolling his balls all night and we told him to stop but he didnt care","2024-12-23T00:33:46.290Z","0","coconut man","2","false",,,"en","8 months ago",,"ChZDSUhNMG9nS0VJQ0FnSUR2cmJuS1FnEAE",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR2cmJuS1FnEAE!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CIHM0ogKEICAgIDvrbnKQg%7CCgwI6t-iuwYQgOXeigE%7C?hl=en","107776000383221555871","https://lh3.googleusercontent.com/a-/ALV-UjUaVW2RhGNrfO0tsSMtGaZSBoBa9cqrADlttxeCdIap2qxQvBNE=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/107776000383221555871?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","4","met a ghost here once when i was in yankee platoon 1 section 2 bed 4. it was a horrifying experience but the ghost told me her life story then proceeded to hump my buddy in bed 3.","2024-12-17T11:49:45.854Z","0","Yuki San","110","true",,,"en","8 months ago",,"ChZDSUhNMG9nS0VJQ0FnSUR2dUlUQWVREAE",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR2dUlUQWVREAE!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CIHM0ogKEICAgIDvuITAeQ%7CCgwI2cqFuwYQwKallwM%7C?hl=en","110485036638605041289","https://lh3.googleusercontent.com/a/ACg8ocLzwG8uqoG2shcIbp8euWoWF7RD2Z9ltaS53e0xPOIFTlobcZM=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/110485036638605041289?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","5",,"2024-11-25T10:52:22.494Z","0","RS150R V4","1","false",,,,"9 months ago",,"ChdDSUhNMG9nS0VJQ0FnSUNQa2RfMjd3RRAB",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNQa2RfMjd3RRAB!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CIHM0ogKEICAgICPkd_27wE%7CCgwI5q2RugYQoKz86wE%7C?hl=en","104822496292275453815","https://lh3.googleusercontent.com/a-/ALV-UjX33qb7ZCjTp-cfApDQ_I8lmGelNiY_O5MPHh0bRXFYEDntxrQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/104822496292275453815?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","1","I still have nightmares decades later","2024-10-10T09:35:54.668Z","0","Edmund Tan","108","true",,,"en","10 months ago",,"ChZDSUhNMG9nS0VJQ0FnSURubTRpSFp3EAE",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURubTRpSFp3EAE!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CIHM0ogKEICAgIDnm4iHZw%7CCgwI-r-euAYQsP38vgI%7C?hl=en","114403073213293026223","https://lh3.googleusercontent.com/a/ACg8ocJkzJoRwNLU152Mtr-y1RMvgBbKFX5x58KDcA0JvIPp_gLH9g=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/114403073213293026223?hl=en",,,,,,,,,,,,,,,,,,,,,,,
"BMTC School 4 (Rocky Hill Camp)","1","Sorry PES F dont ask me","2024-07-24T19:12:04.388Z","0","一ノ瀬千鶴","2","false",,,"en","a year ago",,"ChZDSUhNMG9nS0VJQ0FnSUNiX0tPS01nEAE",,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNiX0tPS01nEAE!2m1!1s0x0:0xf538b0378927ad8f!3m1!1s2@1:CIHM0ogKEICAgICb_KOKMg%7CCgwIhKSFtQYQ8IuouQE%7C?hl=en","114757449826736584299","https://lh3.googleusercontent.com/a-/ALV-UjXpYZm7AN5FDFKWWLF0vzzNIJfvOhss7m_0PG6J6uxUSwJLHOad=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/114757449826736584299?hl=en",,,,,,,,,,,,,,,,,,,,,,,
