title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,originalLanguage,publishAt,rating,reviewContext/Meal type,reviewContext/Noise level,reviewContext/Parking,reviewContext/Parking options,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Seating type,reviewContext/Service,reviewContext/Vegetarian options,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,translatedLanguage,visitedIn,reviewImageUrls/2,reviewImageUrls/3,reviewContext/Wait time,reviewImageUrls/4,reviewImageUrls/5,reviewContext/Group size,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewContext/Recommended dishes,reviewContext/Reservation,reviewContext/Dietary restrictions,reviewContext/Kid-friendliness,reviewContext/Special events,reviewContext/Special offers,is_spam,spam_reasons,word_count,char_count
CO-OP,1,"waited almost an hour for my food, just for them to have forgotten my order. asked for a refund and miraculously the order immediately comes out. could do better in terms of service and waiting times.",2023-01-16T05:36:59.555Z,0,Claire Anastasia,20,True,,,en,2 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURCOHJxcDZnRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURCOHJxcDZnRRAB!2m1!1s0x0:0x41167401069573f1!3m1!1s2@1:CIHM0ogKEICAgIDB8rqp6gE%7CCgwI-8STngYQ2PrmiAI%7C?hl=en-US,105560971941699580556,https://lh3.googleusercontent.com/a-/ALV-UjUF2Q-CDsOv1w4gcPeRpl6Qb9h4iEwIm89OmAcG503SLqhs5Ty3=s1920-c-rp-mo-ba2-br100,https://www.google.com/maps/contrib/105560971941699580556?hl=en-US,,,,,,,,,,,,,,,,,,,,,,False,,36,200
CO-OP,4,"Quite a small shop, but love the services provided!",2021-08-27T08:25:14.195Z,0,KMT,149,True,,,en,4 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUM2Z0tXbDFnRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM2Z0tXbDFnRRAB!2m1!1s0x0:0x41167401069573f1!3m1!1s2@1:CIHM0ogKEICAgIC6gKWl1gE%7CCgsI6sKiiQYQwNKGXQ%7C?hl=en-US,105456621683314798192,https://lh3.googleusercontent.com/a-/ALV-UjXqnrNKLSj-AQ7oG2yAHmo3QnU0XGrvmSpTq4jjKDmW21WjSntl=s1920-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/105456621683314798192?hl=en-US,,,,,,,,,,,,,,,,,,,,,,True,Too few words (9 < 10),9,51
CO-OP,4,,2020-01-17T09:41:39.968Z,0,Surya Sudhakar,1,True,,,,5 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURNMzZuQl9nRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURNMzZuQl9nRRAB!2m1!1s0x0:0x41167401069573f1!3m1!1s2@1:CIHM0ogKEICAgIDM36nB_gE%7CCgwI04KG8QUQ8LLKzQM%7C?hl=en-US,118004891093701755182,https://lh3.googleusercontent.com/a-/ALV-UjW7h5zeg7nDy1WuKVgxjrrL4Bcxi_RFiuf539B8vmgwMajdnjzX=s1920-c-rp-mo-ba2-br100,https://www.google.com/maps/contrib/118004891093701755182?hl=en-US,,,,,,,,,,,,,,,,,,,,,,True,Too few words (1 < 10); Too few characters (3 < 50),1,3
CO-OP,3,"Only students and staff can go in. Co-op very small, nothing much in there.",2019-08-28T04:54:39.184Z,0,SH TAN,327,True,,,en,5 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURVNmNYaDN3RRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURVNmNYaDN3RRAB!2m1!1s0x0:0x41167401069573f1!3m1!1s2@1:CIHM0ogKEICAgIDU6cXh3wE%7CCgsIj5KY6wUQ2LzwVw%7C?hl=en-US,100928219656887820611,https://lh3.googleusercontent.com/a/ACg8ocIwy5O3E7BpXyqQWDXFF1jKxBeCJJJ_cd8UQuId32_pIsTlnw=s1920-c-rp-mo-ba5-br100,https://www.google.com/maps/contrib/100928219656887820611?hl=en-US,,,,,,,,,,,,,,,,,,,,,,False,,14,75
CO-OP,5,,2019-03-22T08:07:30.631Z,0,Januar Ananta,5,True,,,,6 years ago,,,,,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURvbS1feVF3EAE,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURvbS1feVF3EAE!2m1!1s0x0:0x41167401069573f1!3m1!1s2@1:CIHM0ogKEICAgIDom-_yQw%7CCgwIwq_S5AUQsOaQrQI%7C?hl=en-US,102189077197683617445,https://lh3.googleusercontent.com/a-/ALV-UjW4yya5cHXTL5ITS5XXOY3eTAXOgXBoT3TpOcDpRAke10D5V50Z=s1920-c-rp-mo-ba2-br100,https://www.google.com/maps/contrib/102189077197683617445?hl=en-US,,,,,,,,,,,,,,,,,,,,,,True,Too few words (1 < 10); Too few characters (3 < 50); Duplicate of review #3,1,3
CO-OP,2,"Takes an infinite amount to service. By the time your food arrives, you no longer want to eat. The quality is good though. But I hate the longer wait time.",2017-11-16T11:32:28.693Z,0,Sachin,54,True,,,en,7 years ago,,,,,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNnNjYtd1Z3EAE,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNnNjYtd1Z3EAE!2m1!1s0x0:0x41167401069573f1!3m1!1s2@1:CIHM0ogKEICAgICg66-wVw%7CCgwIzO610AUQwK65ygI%7C?hl=en-US,107823974558270537124,https://lh3.googleusercontent.com/a-/ALV-UjV_2ruPkJve4x4xU-4bYN57FwugQKMJZd6-Q8t3eSbanxL2Hqui4Q=s1920-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/107823974558270537124?hl=en-US,,,,,,,,,,,,,,,,,,,,,,False,,30,155
CO-OP,5,便宜的NTU纪念品 办卡九折,2017-02-17T14:22:06.574Z,0,Matthew Xu,49,True,,,zh,8 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNnOUlfZHFBRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNnOUlfZHFBRRAB!2m1!1s0x0:0x41167401069573f1!3m1!1s2@1:CIHM0ogKEICAgICg9I_dqAE%7CCgwIjo6cxQUQgJfakQI%7C?hl=en-US,109262312475514707189,https://lh3.googleusercontent.com/a-/ALV-UjWkfqud7usJf5r9YdAsUZKYX42d-D-10YU9nGrz0P3FZtSEvXKi=s1920-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/109262312475514707189?hl=en-US,Affordable NTU souvenirs and 10% off with cardholder registration,en,,,,,,,,,,,,,,,,,,,,True,Too few words (2 < 10); Too few characters (14 < 50),2,14
CO-OP,5,This Co-op shop is promoting products created by students and alumni.,2016-10-03T02:37:17.483Z,0,Ho Yeong Cherng,47,True,,,en,8 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNnbnF6SnFnRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNnbnF6SnFnRRAB!2m1!1s0x0:0x41167401069573f1!3m1!1s2@1:CIHM0ogKEICAgICgnqzJqgE%7CCgwI3YjHvwUQwP2n5gE%7C?hl=en-US,101057251906289321042,https://lh3.googleusercontent.com/a-/ALV-UjWHRv5hbmnguoh_MTIyf08mqek1g8IP4gecIxVC3yLnESQXrCnVrw=s1920-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/101057251906289321042?hl=en-US,,,,,,,,,,,,,,,,,,,,,,True,Promotional content detected,11,69
Ding Ji,3,,2023-12-08T15:26:59.044Z,0,John Foong,33,True,,,,a year ago,,Lunch,,,,,$1–10,,Dine in,,2.0,3.0,3.0,ChZDSUhNMG9nS0VJQ0FnSUNWMWNIMEJnEAE,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNWMWNIMEJnEAE!2m1!1s0x0:0xbb2aacc8041ece94!3m1!1s2@1:CIHM0ogKEICAgICV1cH0Bg%7CCgsIw-vMqwYQsKOtFQ%7C?hl=en,114524706405478792169,https://lh3.googleusercontent.com/a/ACg8ocJwz1DvrVqDygy6clt9xtQXjJDm1SPENWrhtvSpws-_eAIj=s1920-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/114524706405478792169?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (1 < 10); Too few characters (3 < 50); Duplicate of review #3,1,3
Ding Ji,5,新的泰国餐，真的很好吃,2022-12-06T07:56:31.759Z,0,kokwai keat,7,True,,,zh,2 years ago,,,,,,,,,,,5.0,5.0,5.0,ChdDSUhNMG9nS0VJQ0FnSUQtamJDZWhnRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtamJDZWhnRRAB!2m1!1s0x0:0xbb2aacc8041ece94!3m1!1s2@1:CIHM0ogKEICAgID-jbCehgE%7CCgwIr-u7nAYQ-M2A6gI%7C?hl=en,117568266914518223542,https://lh3.googleusercontent.com/a-/ALV-UjWcT11yoMAXeq9RSZT5J_3r4fwe0dblI8WfbHsYBJzfTicDNy0M=s1920-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/117568266914518223542?hl=en,"New Thai food, really delicious",en,,,,,,,,,,,,,,,,,,,,True,Too few words (1 < 10); Too few characters (11 < 50),1,11
