"title","stars","text","publishedAtDate","likesCount","name","reviewerNumberOfReviews","isLocalGuide","responseFromOwnerDate","responseFromOwnerText","originalLanguage","publishAt","rating","reviewContext/Reservation recommended","reviewContext/Visited on","reviewContext/Wait time","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewOrigin","reviewUrl","reviewerId","reviewerPhotoUrl","reviewerUrl","textTranslated","translatedLanguage","visitedIn","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32"
"COURTS Orchard","5","Thanks Hari for the impeccable service and great help - made the shopping experience  an exceptional one!","2025-08-17T04:50:03.856Z","0","Jun","34","true",,,"en","a week ago",,,,,"Ci9DQUlRQUNvZENodHljRjlvT2paQ05UWlhWa1ZET0ROclFuaHNaV2gzUkMxUGRuYxAB",,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paQ05UWlhWa1ZET0ROclFuaHNaV2gzUkMxUGRuYxAB!2m1!1s0x0:0x47c348ea28fd7a58!3m1!1s2@1:CAIQACodChtycF9oOjZCNTZXVkVDODNrQnhsZWh3RC1Pdnc%7C0ccKxvn2Z2j%7C?hl=en","112874960220524131824","https://lh3.googleusercontent.com/a-/ALV-UjUbyZHPFzrNV4Zd1TzAh3bMqv672rzI9qlydWooar3EHj169tNJzQ=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/112874960220524131824?hl=en",,,,,,,,,,,,,,,,,,,,,,,,
"COURTS Orchard","1","Visited Courts Nojima on 3 August to explore buying a dryer. Did not expect it to be the start of many troubles.

Was wrongly advised by sales staff regarding the SG60 discounts ($120 off instead of $60) and use of climate vouchers for a dryer (cannot be used) only at the point of purchase. Decided to proceed with buying the Samsung dryer.

After purchase, did not receive any confirmation of notification of delivery of actual date, only a call 10 mins before delivery. Delivery window was 10am to 2pm, and ended up staying home for 3 hours (10am to 1pm) before getting a call that the delivery was coming. Sales staff also was hard to contact regarding delivery (2 to 3h wait, only responded after calling). Understand it was his off day, but Courts should have a staff to cover for him since it still involved deliveries, or have a more contactable number.

Sales staff also wrongly scheduled the Samsung delivery agent, so ended up the agent only came 1 day after the dryer was delivered. Asked for a specific time for the agent to come (3pm) to make up for the mistake but ended up with delaying my delivery window (originally 2 to 6pm) to 3 to 7pm. As of 545pm, the agent is still not here. (Edit: Agent ended up being late, and I was forced to take cab to my appointment)

This is one of my worst sales service to date, from pre to post sales. The only good things about this whole process was the advice given on the right dryer to buy (pre sales) and the free delivery given in an attempt to recover from the mistake in the supposed discount.

Please work on your service processes and sales recovery. It is alarming how poor the standards are.","2025-08-14T11:17:37.270Z","0","Lance Tan","57","true",,,"en","a week ago",,,,,"Ci9DQUlRQUNvZENodHljRjlvT25ONFNDMUlWUzFMYmpabmJtRllObmRyU25RdE9FRRAB",,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25ONFNDMUlWUzFMYmpabmJtRllObmRyU25RdE9FRRAB!2m1!1s0x0:0x47c348ea28fd7a58!3m1!1s2@1:CAIQACodChtycF9oOnN4SC1IVS1LbjZnbmFYNndrSnQtOEE%7C0cbRMGF8B0f%7C?hl=en","111792876448074603153","https://lh3.googleusercontent.com/a-/ALV-UjVdrBlAgOur2PWYIBqyOr2vklzkmY3hx37CNhM_4n5ToIfiU-1R=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/111792876448074603153?hl=en",,,,,,,,,,,,,,,,,,,,,,,,
"COURTS Orchard","5","We came here to purchase a TV, and Sales person Jason was very professional, giving us excellent advice. We are extremely satisfied with his service and highly recommend him.
Cashier Jamie was also very kind and helpful. She patiently assisted us and went through the bill with us in detail.","2025-08-09T12:14:53.182Z","0","sha xing","16","true",,,"en","2 weeks ago",,,,,"Ci9DQUlRQUNvZENodHljRjlvT2tGNWRsTnNhRTF1TW01UlNEazJVazlTUzFoU2JGRRAB",,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tGNWRsTnNhRTF1TW01UlNEazJVazlTUzFoU2JGRRAB!2m1!1s0x0:0x47c348ea28fd7a58!3m1!1s2@1:CAIQACodChtycF9oOkF5dlNsaE1uMm5RSDk2Uk9SS1hSbFE%7C0c_nix9t37s%7C?hl=en","109548701874419640921","https://lh3.googleusercontent.com/a/ACg8ocJJjZuwrz-vKy5VSAQMKO5bQJIkdwRJRh-jyPtsR4p9AQjfrQ=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/109548701874419640921?hl=en",,,,,,,,,,,,,,,,,,,,,,,,
"COURTS Orchard","1","Slow and unprofessional.","2025-07-10T10:14:42.119Z","0","Anton zE","27","true",,,"en","a month ago",,,,,"Ci9DQUlRQUNvZENodHljRjlvT21sUWRXTTVabUo2VjBWZlRsUlJVbGhhVlZCWWExRRAB",,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21sUWRXTTVabUo2VjBWZlRsUlJVbGhhVlZCWWExRRAB!2m1!1s0x0:0x47c348ea28fd7a58!3m1!1s2@1:CAIQACodChtycF9oOmlQdWM5ZmJ6V0VfTlRRUlhaVVBYa1E%7C0cQt9H65SbC%7C?hl=en","114517685418718369510","https://lh3.googleusercontent.com/a-/ALV-UjWsSmMAdjyFcUwD_AmaiIBrPIzLuHtb6dBaH45Fqvb0ziCMCxjv=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/114517685418718369510?hl=en",,,,,,,,,,,,,,,,,,,,,,,,
"COURTS Orchard","1","Faulty products with horrible exchange policy","2025-07-07T08:29:15.376Z","0","Derek Lim","32","true",,,"en","a month ago",,,,,"Ci9DQUlRQUNvZENodHljRjlvT21kVmJ6RkthR3RXUjNRNGRrVnhUWFpHY0c4M1RtYxAB",,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kVmJ6RkthR3RXUjNRNGRrVnhUWFpHY0c4M1RtYxAB!2m1!1s0x0:0x47c348ea28fd7a58!3m1!1s2@1:CAIQACodChtycF9oOmdVbzFKaGtWR3Q4dkVxTXZGcG83Tmc%7C0cPsKQLQDzk%7C?hl=en","110872120577088230308","https://lh3.googleusercontent.com/a/ACg8ocI27dpEq9kzadiedbUwtGedOWHECNn41gpOfNY9_EIUWjHYLA=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/110872120577088230308?hl=en",,,,,,,,,,,,,,,,,,,,,,,,
"COURTS Orchard","5","I initially went to Courts Orchard to check out a few items for my new home. I was assisted by Max, who struck me as a very patient and knowledgeable salesperson. He took the time to answer all my questions over the course of more than two hours and demonstrated extensive knowledge of various electrical appliances. Max also offered helpful tips on how to make the most of my purchases and save money at Courts. He also was very flexible in arranging for the payment terms which best fit my needs. Ultimately, I decided to go ahead with the purchase of a Samsung Smart TV and a Samsung Home Theatre system. Highly recommend speaking to Max if you're going to Courts Orchard, as he made my entire experience smooth and easy.","2025-06-08T12:20:30.407Z","0","Sagar Singh","1","false","2025-06-09T03:33:53.000Z","Hi Sagar Singh,

We're glad that Max delivered a positive experience to you. Rest assured that we will share your feedback with the department in charge to acknowledge his good service and he will be pleased to learn of this. Thank you so much for your continued support of COURTS SINGAPORE and we look forward to serving you again!","en","2 months ago",,,,,"ChZDSUhNMG9nS0VJX2R3TUxVdEpISlZBEAE",,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJX2R3TUxVdEpISlZBEAE!2m1!1s0x0:0x47c348ea28fd7a58!3m1!1s2@1:CIHM0ogKEI_dwMLUtJHJVA%7CCgwIjoCWwgYQgOuxwgE%7C?hl=en","112691506563035638599","https://lh3.googleusercontent.com/a-/ALV-UjXATShivOP928zC-OA3p2qy-0ERi2CUdwpfcvdltLvKEwnwZAbB=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/112691506563035638599?hl=en",,,,,,,,,,,,,,,,,,,,,,,,
"COURTS Orchard","5","Fantastic customer service! Just make sure you ask the right person.","2025-05-23T09:26:28.158Z","0","Saquib Kabir","121","true","2025-05-23T10:19:11.000Z","Dear Saquib Kabir​,

We’re so happy to hear you had a great experience at Courts Heeren. Your review made our day! Our whole team works very hard to keep our customers happy, but we can only do is to thank our amazing customers like you. Thanks again, and we hope to serve you again soon.","en","3 months ago",,,,,"ChZDSUhNMG9nS0VMcko2X3locjhmS0Z3EAE",,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VMcko2X3locjhmS0Z3EAE!2m1!1s0x0:0x47c348ea28fd7a58!3m1!1s2@1:CIHM0ogKELrJ6_yhr8fKFw%7CCgsIxP7AwQYQ2KPJSw%7C?hl=en","116491624949137255279","https://lh3.googleusercontent.com/a-/ALV-UjWSSi6j-5UkGExoVwbss5Qpbm2u2ByFWQIfZGkTQrdA_rNElxvlOA=s1920-c-rp-mo-ba5-br100","https://www.google.com/maps/contrib/116491624949137255279?hl=en",,,,,,,,,,,,,,,,,,,,,,,,
"COURTS Orchard","5","Bought a dining set. Sales associate Pui Yee is exceptionally helpful, helping us carrying some chairs around to find a good mix and matching colour. Weeks later we had to make changes and cancel part of the purchases still she is very attentive and make sure the refund is processed promptly 👍","2025-05-13T12:27:17.197Z","0","Winson Phoon","12","false","2025-05-14T01:48:16.000Z","Dear Winson Phoon​ 

Thank you for your great review. At COURTS SG, we work hard to offer high-quality service to every guest. We made sure to share this feedback with Pui Yee to give her the recognition. We hope you’ll visit us again soon.","en","3 months ago",,,,,"ChdDSUhNMG9nS0VKV0EtWU9UaC0yOV9nRRAB",,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VKV0EtWU9UaC0yOV9nRRAB!2m1!1s0x0:0x47c348ea28fd7a58!3m1!1s2@1:CIHM0ogKEJWA-YOTh-29_gE%7CCgsIpfWMwQYQyIKBXg%7C?hl=en","103709643325218661716","https://lh3.googleusercontent.com/a-/ALV-UjVy2s8l1e32TZ6sS0A9y2PS8VMtx4Xp5ngrLLKJiC_N6cZ96Ek8-Q=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/103709643325218661716?hl=en",,,,,,,,,,,,,,,,,,,,,,,,
"COURTS Orchard","4",,"2025-05-04T11:35:07.246Z","0","Steve Desnoyers","26","true","2025-05-05T01:48:41.000Z","Dear Steve Desnoyers​ 

Thank you so much for your 5-star review! We will share this with our team to let them know to keep up the amazing work. We look forward to welcoming you back to COURTS SG in the near future.",,"3 months ago",,,,,"ChdDSUhNMG9nS0VJQ0FnTUNZcnVYTHhRRRAB",,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNZcnVYTHhRRRAB!2m1!1s0x0:0x47c348ea28fd7a58!3m1!1s2@1:CIHM0ogKEICAgMCYruXLxQE%7CCgsI66HdwAYQgNLQdQ%7C?hl=en","109820170113232444781","https://lh3.googleusercontent.com/a-/ALV-UjU07vWfdR-24mMw7BBIl1jPJJROR205cVF7NDfju0uNJWVdLYUg=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/109820170113232444781?hl=en",,,,,,,,,,,,,,,,,,,,,,,,
"COURTS Orchard","4","Cutest Christmas tree","2025-05-03T05:19:29.617Z","0","pavithra pavi","57","true","2025-05-04T08:24:14.000Z","Dear pavithra pavi​, 

Thank you for taking a moment to share your experience at COURTS SG. If there is anything else we can do for you, please email us at googlereview@courts.com.sg (mailto:googlereview@courts.com.sg). We look forward to seeing you again soon.","en","3 months ago",,,,,"ChdDSUhNMG9nS0VJQ0FnTUNZOHRiWHNBRRAB","https://lh3.googleusercontent.com/geougc-cs/AB3l90AMVi4Q2c8gqOfVUbmNrwScw7fw-B9Kbih-lEcpFWz8KqbKf7phCWawnmp1fD_-VxZT_SVAwGCcoAix8iD5QZS5bsPuyy4ZkTN9qC_9Ta5GBCqSJ8OoYGLSFfGLha6nmfbl6baK","https://lh3.googleusercontent.com/geougc-cs/AB3l90D0u_e7A7y8hX5lrS5w41Bmh8hGBZ8zff8INnpR7O1ICq7arJdi-t8zbsZM6YoRChXb0myCwLFb-PymODAlS4mfzOEWbMwvFaaNeEkXnDeu3D_7dUBkxx2a9fzv63CsHs5jBYCytg",,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNZOHRiWHNBRRAB!2m1!1s0x0:0x47c348ea28fd7a58!3m1!1s2@1:CIHM0ogKEICAgMCY8tbXsAE%7CCgwI4c7WwAYQ4M_RpgI%7C?hl=en","116557915469768668283","https://lh3.googleusercontent.com/a-/ALV-UjVFRTdrmaCka1NaLSvAPX2UeM-5y3N3hm8HI82wAuWoEQBgeTEhqg=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/116557915469768668283?hl=en",,,,,,,,,,,,,,,,,,,,,,,,
