company_name,reviewer_name,review_date,text,stars,category,image_urls,image_captions,group
Von's 1000 Spirits,Lainey N.,11/8/2025,"All the food and drinks were pretty good, I give it a 8/10. Nothing was amazing but nothing was bad! The vibes inside here are rly nice and dim. Service was nice and accommodating. I would come here again!",4,restaurants; restaurants; nightlife,https://s3-media0.fl.yelpcdn.com/bphoto/7vQi0zayA-4M5Up8pPwLUw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/Z5AaLU10k09iFt_ZdWfszw/o.jpg,Seattle Classic Summer Stone Fruit Pizza; Espresso Euphoria lemon drop Papaya Mule,Food & Beverage
Von's 1000 Spirits,Jamillah S.,7/8/2025,Vons is the perfect happy hour spot to go to! Staff is nice and even if it is crowded there's still seating available depending how big your party is. The drinks were buzzing and refreshing and the pizza was to die for the perfect sharing size. The bolognese pasta was amazing with the fresh pasta and flavorful sauce it is easily one of the best pasta dishes I have had in the city. Already craving to go back there already!!,5,restaurants; restaurants; nightlife,https://s3-media0.fl.yelpcdn.com/bphoto/vN0pNZ_yT1j6CB3S_YFN5g/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/BQ2YaOwPD5fCEBN3OEL8bA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/GCQPHjfe0dQccSv0x6K_HA/o.jpg,Von's Cacio e Pepe Pizza; Happy Hour Drinks; Bolognese,Food & Beverage
Von's 1000 Spirits,Kaliko P.,30/5/2025,"""My Boo"" - Ghost Town DJ's. (spirits, get it?)


Ever been blown away by almost everything you ate or had to drink? This place was so good we were all unanimously raving about it. We already miss Von's. 

We loved Von's so much that we ate at the Woodinville location a week later, after we got off our Alaska cruise in Seattle. 

This location was very close to Pike Market Place and to our hotel, the Alexis Royal Sonesta, all walking distance. Visited during Happy Hour, got a table after waiting about 20 minutes. 

FOOD:
- My favorite was the  Cachio E Pepe pizza with wood-fired sourdough pizza, 5 cheeses and drizzled with hot honey. Out of this world! 
- Smash Burger was a hit with my son. 
- Fries are fresh-cut and fried 'today', none of that frozen business. 
- husband ordered appetizers and a burger as well, all supremely delicious. 

DRINKS:
- came for Happy hour and stayed well past it. My favorite was the Hot Honey Paloma, ordered two of them.
- Skinny Bitch was amazing as well! The sparkly, color-changing light cube caught the attention of another couple on another table, so they ended up ordering it was well. 
- smoothest vodka I've ever had, puts Tito's to shame! It was so good I had to drive to Woodinville after we got back from our cruise to buy their Savor Spear Vodka from Northwest Spirits (Von's uses their spirits). Ended up lugging home four bottles of the stuff. 

SERVICE: 
- a big shout out to Ocean. He was amazing and made our dining experience superb! 
- everyone was also nice, not a mean spirit in the place! 

TOTAL: we feasted and had so many drinks we ran up our tab to about $182 but we didn't have to drive, so we were having a great time. 

RETURN FACTOR: may have to make a special trip out to Seattle just to go on an eating spree - Von's will be the primary reason we come back!",5,restaurants; restaurants; nightlife,https://s3-media0.fl.yelpcdn.com/bphoto/9b1woAM50wzNrqVidotm7g/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/YlrfNPVQcJL8fXv14gwALg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/zGzRFwmbf6FIWcF5NKMJWg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/0ABS3cqbJqsniFZFcJhVQA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/AoHhkzOs6j0nSxFAC_bjyg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/zIZy-NyKYrV0JQ4UGpC_xA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/t5Nnku6RrP9KofG0DVGbAw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/U-ks_-PxcjMu0usPa4iRUA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/Ld_8PZNxhzKifvEU28jymA/o.jpg,"The Skinny Bitch (seriously). I bet there's a story here!; Hot Honey Paloma - my favorite!!; Guacamole and chips appetizer; Interior; Von's will you marry me?; Smash burger with fresh hand cut fries; Classic martini - the best vodka, ever; Cachio E Pepe pizza w/ hot honey; The Skinny B - I want to know the history of this drink!",Food & Beverage
Von's 1000 Spirits,Maureen M.,8/6/2025,"After a visit to see SAM's retrospective on Ai WeiWei, a friend & I 
found ourselves at Von's for happy hour.

This was my first time at Von's (a legendary Seattle institution that opened in 1974) but it won't be my last.  

We snagged a table on the back patio, and ordered the burger, fries, and pita & hummus - all to be shared.

I thought the burger was good, but the fries were great.  I don't waste my time on frozen French fries, and these hand- cut babies are the real thing!  

Hummus also delicious - and interesting choice to see a flat bread type pita in lieu of traditional pita.  

Service was attentive.",5,restaurants; restaurants; nightlife,https://s3-media0.fl.yelpcdn.com/bphoto/xiBSg7Ed8rXjYJ8RFA1Y2w/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/QOQ26Tq0BrzWkkhmt65KCw/o.jpg,"Burger, fries, & hummus; Von's back deck",Food & Beverage
Von's 1000 Spirits,Inna R.,26/7/2025,"Hands down one of my favourite spots in Woodinville! They have a great patio for summer dining as well.  Their pasta is a work of art , literally it was scientifically designed to hold a certain amount of sauce and not get soggy. I try to avoid gluten but their pasta does not make me sick. They have a great happy hour menu and fun seasonal drinks. Their  staff seems happy and energised, they also have valet parking.",5,restaurants; restaurants; nightlife,https://s3-media0.fl.yelpcdn.com/bphoto/qd3J8xdrkq4dN_9sIFV5lQ/o.jpg,Tellicherry Chicken and Smoked Gouda,Food & Beverage
Von's 1000 Spirits,Devin M.,26/5/2025,"Both burgers were great. Let me start of with the Bacon Burger (RIGHT) well done burger, with thick applewood bacon. The mayo and cheese added to the taste (8.8/10).Seattle Classic done Medium extremely juicy and again thick brown sugar bacon. Preferred this burger because was very juicy as stated and Jim's sauce was a nice addition 9/10.

Also stole a fry which was extremely good similar to wing stop quality which I love. Perfect side salad for health! 

Service was fast and efficient loved how they left the water on the table for us to serve. Ambiance was amazing!!! This place plays awesome music and the vibe is super chill. Definitely reccomend to try out!",5,restaurants; restaurants; nightlife,https://s3-media0.fl.yelpcdn.com/bphoto/zMLjtT6Rq0-PlpyYqxzy3A/o.jpg,The Bacon Burger (Aka the Prescott) / Seattle Classic,Food & Beverage
Von's 1000 Spirits,Kimberly C.,11/5/2025,"Yelp never fails to deliver! We wanted something different, so I started looking and found this restaurant. We got there on a Saturday at 5:15 pm and already had a 20 minute wait. It was definitely worth the wait! 

Our waitress Kayta I think that is how you spell it, was amazing. She offered her opinion on some of the dishes and the drinks which helped us decide. 

We happen to get there at happy hour. There is rarely a happy hour in Texas on a Saturday. 

There were 4 of us in our group and we decided to share. We ordered the Mac and cheese, pork carnitas loaded fries, and a pork carnitas and avocado pizza. The Mac and cheese was made with sourdough pasta. Holy cow!!!! It was soooo good. The fries were amazing as well. The pork had a very good flavor. The pizza was made on sourdough crust that was hand pulled as we sat there and put into a wood oven. It was so very good. We also got the salted caramel apple strudel. We were all so full and very satisfied. Everyone in our group was very happy with my choice of restaurants. 

While it was packed inside it wasn't too loud and it was a fun atmosphere.",5,restaurants; restaurants; nightlife,https://s3-media0.fl.yelpcdn.com/bphoto/tsGSKifTUKJWUAwiK4O5kg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/MBaQ4k4anzHlKbJLZ2003w/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/Y5htoFn9CMbRES4qqHFQzg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/Iji5U3HvEbHDgM-iO0EeiA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/i55AuqzrEEURh9SNpPNZDA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/KpgnbdmcSAsSx6hRAXTInQ/o.jpg,Car Salted Caramel Apple Strudel; Mac and Cheese; Pork carnitas and avocado pizza; Margarita; Skinny bitch; Pork carnitas loaded fries,Food & Beverage
Von's 1000 Spirits,Sunny S.,19/5/2025,"The pasta here is to die for! We got the salmon pasta and it is more than enough for 2 people. 

Service is great and ambiance of this place is a great night out spent with friends!!",5,restaurants; restaurants; nightlife,https://s3-media0.fl.yelpcdn.com/bphoto/nhEWWqyEI2X9iPMlHOnE7A/o.jpg,,Food & Beverage
Von's 1000 Spirits,Eric B.,30/4/2025,"Went tonight for dinner and drinks with our group after seeing the Mariners play and had a great time. Tracie was our server and she was awesome! We all had different drinks and highly recommend trying the old fashion with their house made bourbon. 

We tried several dishes but the best was the bang bang chicken! 

This place is always packed so be patient and expect a wait but it's well worth it! 

The place has an open kitchen concept so you can see dishes coming out so if you can sit at the counter that looks at the kitchen, do it! 

Overall facilities are very clean and the staff was super friendly! Managers were awesome as well

Our group will be back for sure when we have meetings again in town",5,restaurants; restaurants; nightlife,https://s3-media0.fl.yelpcdn.com/bphoto/7iCJZ6Y2TBgpXrbhOscMEg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/EBKuiDU_UQ1XKS1-wUhFzg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/tFolv4pZKuRGsSO7ocQzXA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/j1TBVlqvVG1ekSTrb9YWvw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/L-LCVxgqycF4xFz1Yn7rHA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/BY4-cX22Wm2gh7IZ_7ETKA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/Wp0fot0Ie_VeMj8Gxv8Pmg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/Fod90XJg529p4YvK_L741w/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/TsUBlDNNXSEnHZPr9RU_nA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/EMNAQPKc6zJ3CFrcl8dbXQ/o.jpg,,Food & Beverage
Von's 1000 Spirits,Jim U.,20/8/2025,"Out of the happy hour beer at 2:30? Tasty Southern Spread&Quac. $8 martini is a deal. Well made cocktails. It's been awhile since I've been in but the place is still a pretty good stop in Seattle.
Quick update. Service has been pretty poor for the guy next to me at the bar and now for myself. Ignored, order taken and never fulfilled(he had to ask again). The guy is most of the problem. The women are friendly and helpful. Sad way to end the experience.",3,restaurants; restaurants; nightlife,,,Food & Beverage
