company_name,reviewer_name,review_date,text,stars,category,image_urls,image_captions,group
King's Locksmith,Diana P.,23/4/2020,"Had an issue with tenants who would forget to lock the front door. Found these guys and called them around 9 am on Tuesday. He told me my 2 slam shut lock options and explained which would be the better one. I went with his decision and by 2 o'clock he was here to replace it. No complaints with the workmanship. Just what i wanted. And the price was super reasonable. So can't go wrong with King's lock for reliable, and fast work",5,homeservices,https://s3-media0.fl.yelpcdn.com/bphoto/Oj56Yr1lrV_Efgf4Rf2xAg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/lG-eVI5ESyDa1kHHc3mLKA/o.jpg,Made the lock into a slam shut lock; The inside part. Automatically locks behind them.,Retail
King's Locksmith,Judi J.,10/8/2022,"No one likes to be in the position where they don't have any choice and must call an emergency locksmith. I know what that can feel like because I was in that awful position.

What I have found is that people today have more than the usual issues, a sign of the times, maybe, or for some that's just the way they generally are. Who knows?

I lucked out with Randy from King's Locksmith. If I could give him more than just the 5 stars I would. He's a definite breath of fresh air. A local emergency locksmith, who enjoys his craft and being able to help you out. I found him to be a problem-solver, a knowledgeable, skilled person who knew his craft well and more importantly, got the job done that was needed.

Sure, depending on your needs you may pay a little more, but he's upfront with the cost and he writes you a bill with King's Locksmith, his company, and his name signed on it, not somewhere else and with someone else's name. Peace of mind is very important to have.

The job he did for me required the lock he was using to be altered. This was his first time having to make that kind of alteration. He worked very hard to do it and he took a chance that it wouldn't work. So far he was successful and he made me a very happy customer.

I have put his company, King's Locksmith, into my phone book and if I ever need to have any emergency locks in the future, Randy from King's Locksmith will be the one I call. He is truly what servicing a customer is all about. Thank you Randy, for a job well done.",5,homeservices,,,Retail
King's Locksmith,Carla B.,6/2/2021,"I can't say enough about King's Locksmith. I called and spoke with Randy, the owner, around 1:45p, and explained the situation. He said give them a few minutes and a technician would call me back to advise when they would be by. Randy was true to his word; within 20 minutes, the tech called to say he had another call and would arrive by 4:30p. Again, true to his word. Greg surveyed the situation, told me what needed to be done and by 5:15p, my issue was resolved. I couldn't be happier! 
If you're looking for reliable, true to their word company, then look no further; King's is the best!!!",5,homeservices,,,Retail
King's Locksmith,Masahiro W.,19/8/2021,"Actually the best of the best in city. I needed to replace mortise locks. Sending photos and a video after phone call, he gave me an estimate quickly. He was very nice, honest and knowledgeable. The work was done perfectly. I will call him again if having a lock issue in the future.",5,homeservices,,,Retail
King's Locksmith,Laurice W.,10/8/2022,"Never showed up after waiting for hours. My friend had lost his only set of car keys. The rep took all information, location, estimated time of arrival. They didn't have the decency to notify us that they wouldn't be able to assist us-they just didn't show.",2,homeservices,,,Retail
King's Locksmith,Samantha B.,28/9/2019,"After making me wait for the locksmith forever they did not even have the lock I wanted. Instead of telling me right away they showed up with an inferior lock instead of just telling me they don't have what I wanted so I could call someone else. 
The three stars are because at least they were friendly while they were bringing it and making me wait.",3,homeservices,,,Retail
King's Locksmith,Roger D.,21/9/2021,Professional and quick service. Highly recommended if you're locked out or if you need to change your locks. Fair pricing and really cares about their customers.,5,homeservices,,,Retail
King's Locksmith,Heather B.,24/4/2021,What a bunch of crooks !!! Told me it was $20 dollars to come out. Then the guy gets there opens up the car and says that will be $120 dollars. Never told me how much it would of been before he opened it. I feel very taken advantage of.,1,homeservices,,,Retail
King's Locksmith,Catherine P.,3/1/2019,"I called and made an appointment for late during the day. I needed a locksmith to come check out a door in one of the pharmacies that I manage in Brooklyn. Almost 30 minutes later they were at the location. GREAT, FAST service.

Thank you Jacobi, Randy & Kings Locksmith Team.",5,homeservices,,,Retail
King's Locksmith,Judith R.,19/6/2017,"Randy saved my life!
Honest, professional, friendly and gave great advice. 
Best thing of all, did not break the bank.",5,homeservices,https://s3-media0.fl.yelpcdn.com/bphoto/5zvgokR73XXzLRB3L_Ot5g/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/v7wcwJOGTTAcfAC6QHi0zw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/SEXxh_ydEiPhYMVmAreycg/o.jpg,,Retail
King's Locksmith,Daniel B.,9/9/2019,"Right over Labor Day weekend, my door's inner spring mechanism broke, which caused a huge headache. I reached out to King's Locksmith and they were able to make it over within 2 hours. Randy was awesome! So friendly, professional, and prompt. The entire lock needed to be replaced, but the price was great, even when extra drilling was needed. 

Thanks Randy and King's locksmith!",5,homeservices,,,Retail
King's Locksmith,Edith D.,7/6/2024,"This morning my tenant couldn't secure the door as he left for work - the whole mechanism was shot. I called for service and was greeted warmly on the phone. Justin came by with all the tools and parts he needed after I sent him a video of the faulty bolt lock. Everything was replaced in a timely manner and all is working like new - as it's an historic house with a century old door, he even compensated for slight misalignment so that the mechanism worked smoothly. Excellent job and top rate company",5,homeservices,,,Retail
King's Locksmith,a b.,11/6/2024,"We hired Kings Locksmith to replace one lock on our exterior door and add one additional lock on a different interior door.

The exterior door lock we replaced on February 26 was no longer locking after less than 4 months so I called them first thing this morning for an emergency repair.  Calls were clearly being routed to an answering service and I received one call back saying they would have someone call me within 5 minutes.  This song and dance went on for two hours before I called another company for what was obviously an emergency.  

The long and short of it is they were non responsive to an emergency on an installation they did less than four months ago.

We called Max's Locksmith and they were there within the hour to save the day.  Use them instead.",1,homeservices,,,Retail
King's Locksmith,Mali M.,4/12/2023,"They were really friendly, responded right away, and installed my lock within 2 hours of my call. I would definitely recommend them, and intend to use their service to install some smart locks. The tech was knowledgeable and answered my questions with valuable input.",5,homeservices,,,Retail
King's Locksmith,Lauren B.,18/4/2024,"They were extremely professional, arrived within 25 minutes and helped get us in as quickly as possible. Best case scenario for a not great situation.",5,homeservices,,,Retail
King's Locksmith,Kristin K.,22/9/2023,Randy had the nicest demeanor over the phone. He asked me a lot of good questions to make sure he understood my lock and gave me a proper estimate. He was able to fit me in day of and that was really important to me. He did a great job fast for a fair price. I would totally use him again!,5,homeservices,,,Retail
King's Locksmith,Shannon M.,19/1/2024,Needed to change my locks and they provided same-day service. Very organized and the team was super communicative. Shoutout to George for his great work! Would certainly work with them again.,5,homeservices,,,Retail
King's Locksmith,Tirso R.,21/12/2021,"I broke my key in my mailbox and Randolph was helpful and friendly . He answered me right away with an amazing quote to fix my mailbox key issues. He even sent me a Video of him doing so. 
THANK YOU!",5,homeservices,,,Retail
King's Locksmith,Anthony P.,27/5/2021,"Definitely the place to call for any lock issues or installation.  They responded right away and fixed/installed my new digital lock and handle. Great work.  Don't call the cheapest place, call these guys that are experts. Well worth it. Thanks.",5,homeservices,https://s3-media0.fl.yelpcdn.com/bphoto/OtleqAqbNllgaoW3JYCHAQ/o.jpg,,Retail
King's Locksmith,M H.,29/4/2023,"1) used to have key copies made here before pandemic and they did amazing job. was devastated they closed the old shop. 
2) finally had the opportunity to use their locksmith services for a broken mortise lock on my apartment. not a fun situation but they sent Tom who did a great job, worked around some particular issues with my apartment door having been shoddily installed, and made it all work. 
Fair prices based on the complexity of the job, the evening hour, and what friends told me they've spent on smaller jobs. 
Highly recommend!!",5,homeservices,,,Retail
Scotts Flowers NYC,Liz M.,21/2/2025,I've used Scott's a few times now and they are always on time with beautiful arrangements that last.   Thank you for your exceptional service.,5,shopping; shopping,,,Retail
Scotts Flowers NYC,Summer C.,12/2/2025,"My friend moved to New York recently from California and I wasn't able to spend her 40th with her so I wanted to send her bouquet of flowers. I'm super picky when it comes to arrangements, as most places are pretty boring/generic. I came across Scott's and immediately fell in love with their style. Classy and elegant arrangements that don't look like your grocery store flower. In Yelp Search I typed ""Astoria, Queens"" to find a local shop. I spent an hour looking at stores websites but ended up here. In my mind I thought it  was just down the street...not realizing it was in Manhattan. At first delivery didn't go so well, but I reached out and Arina messaged me immediately apologizing letting me know it was outside of manhattan so they use a 3rd party delivery service. She made sure to have a fresh arrangement made and delivered today. The customer service is A+++ and I appreciate the quick and accommodating actions on their end. I highly recommend this flower shop for their classy arrangements AS WELL as their classy customer service!",5,shopping; shopping,https://s3-media0.fl.yelpcdn.com/bphoto/L032x07dQM0EaY3py-Y6hw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/rj5QigWMvTC-DvvRLumDLA/o.jpg,Happy customer!; The Tiffany arrangement,Retail
Scotts Flowers NYC,David L.,11/7/2024,"After one of the big online services failed me on a very important floral order, I reached out to Scotts Flowers. I placed my order on their website and then followed up with an email, providing detailed instructions about what I needed. They responded promptly, making clear that they understood perfectly. The flowers were on time and gorgeous--exactly as pictured on the website, which isn't always the case. I will definitely be relying upon them in the future for my floral needs in Manhattan. Thank you, Scotts Flowers!",5,shopping; shopping,https://s3-media0.fl.yelpcdn.com/bphoto/VuCKIux_EKlmK3JwsvZf6A/o.jpg,,Retail
Scotts Flowers NYC,Haydee C.,28/4/2024,Nicely done corsage and boutonnière for my son's junior prom! Very well done if I bit pricey (they charge per stem).,4,shopping; shopping,https://s3-media0.fl.yelpcdn.com/bphoto/TTs1AI2GOsMDWLSB-im9_g/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/AlpiaRjoGuZDzi9BLz9h_Q/o.jpg,Sand; 2 orchids one purple for my son's date's corsage and a silver white one for my son's boutonnière.,Retail
Scotts Flowers NYC,Demi C.,7/5/2024,"Beautiful flowers and arrangements. So glad to support a local business. Customer service was outstanding. I called with a tweak/request after placing an online order and spoke to an actual person and they fixed it for me. Thank you Rob! Website interface is also really well put together.
Repeat customer. You get what you pay for, and this is definitely worth it.",5,shopping; shopping,,,Retail
Scotts Flowers NYC,Mg C.,30/8/2023,"I'm in California and wanted send flowers to someone special to me. 

Found Scotts through Yelp, and I mean there's nothing but glowing reviews.

I ended up placing an order for the Old New Yorker -Standard for same day delivery and they were fast. My order was placed a little before 10am and the flowers were delivered at 12pm when the only window available was 2-6pm. 

Exact reaction I got was ""these are honestly the PRETTIEST FLOWERS IVE EVER RECEIVED""

The smile and reaction from her were worth every penny! 

I may not be a local, but Scotts will be my florist of choice whenever I need flowers delivered in NYC.",5,shopping; shopping,https://s3-media0.fl.yelpcdn.com/bphoto/MvbySkJZrqAJOdSscsCMgw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/25GaokSV4HthRNfRyLLvyg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/mGE9nGGDFV0tYuEJCzYW8Q/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/leDhqLVaLRB35cKgALMOEw/o.jpg,Old New Yorker; Old New Yorker - Standard. San Pellegrino for scale; Old New Yorker; Old New Yorker,Retail
Scotts Flowers NYC,Lynn F.,28/3/2025,"Excellent customer service, gorgeous flowers and selection amazing. They accommodated my price range with a very beautiful arrangement!",5,shopping; shopping,,,Retail
Scotts Flowers NYC,Ondan T.,5/4/2024,"The team at Scotts Flowers NYC are daBest!  They were able to accommodate a same day delivery for a celebratory order.  The recipient absolutely adored what they received and made them feel super special!  It's a treat to work with them knowing that post-pandemic -- nothing has changed about their level standard of service , their beautiful arrangements and the value charged! 

Thanks so much!!",5,shopping; shopping,,,Retail
