company_name,reviewer_name,review_date,text,stars,category,image_urls,image_captions,group
Cloud Forest,Janet Y.,15/12/2024,"If you even remotely like flowers and nature, then this is a MUST SEE! 
I love flowers and plants so I was blown away by the sheer beauty of how everything was so beautifully laid out. This is an indoor attraction, kinda like a giant greenhouse so it's actually a nice escape from the humid hot mess outdoors. There is a man-made waterfall in the center and it's quite a statement! You follow the pathway to go up and get a great view of the city through the windows. This whole attraction is gram worthy so be ready to take lots of photos and selfies!",5,arts,,,Arts
Cloud Forest,Donna B.,4/2/2024,"Not the Supertree Observatory, the Cloud Forest is a 2 acre greenhouse that's part of the Gardens by the Bay. 

Next door to the Flower, I recommend getting a ticket package to see everything in the area. Staff at the ticket counter were super helpful is getting me the best bundle for every thing I want to see.  Plus advice on what order. 

This huge structure has paved walkways, stairs and escalators, but expect to walk a lot. From ground level you can take your time and wander through the gardens filled with many species of flowers and plants as you work your way to the top of the 35 meter waterfall. It's the world's tallest indoor waterfall. Nine levels, each a different theme- Cloud Walk, Lost World, Crystal Mountain, Tree Top Walk Secret Garden, Cloud Forest Theater, Waterfall View, The Cavern, and Gallery. 

It's the perfect spot to explore during one of Singapore's rain showers.  

I walked over to Gardens by the Bay to explore along the way. But Gardens by the Bay MRT is the closest station.",4,arts,https://s3-media0.fl.yelpcdn.com/bphoto/qoPjOnqehgv-CVxSluTX8w/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/ziac7V0XDeO6bzFFoXsFUg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/R5_lhOJQ2PBCUIlwgR0PVA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/u8nqoELma34qViwDMe8jqw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/EXR4cbxMQ3qvBzKWU3SGHw/o.jpg,Beautiful flowers; Cloud map; Orchids; So many great colors,Arts
Cloud Forest,Helene S.,2/1/2024,"Get transported into the magical world of Pandora.

The Cloud Forest at Gardens by the Bay created an immersive experience inspired by the movie Avatar. So interesting to see the mystical world brought to life across the iconic cascading waterfalls, beautiful gardens and elevated walkways in the Cloud Forest. 

Separated into five zones, a life-size banshee welcomes visitors to the World of Pandora. Loved the beautiful pathways lit up at night in a splash of colors. 

As you explore each zone, there are docents that operate a puppet baby banshee and baby viperwolf as well as other audio and visual representations of the film. Cute to snap a selfie. 

Other highlights included the cavern with stalagmites and stalactites, the collection of white Dale Chihuly glass and the Orchid Haven. The ""Cloud Mountain"" itself is amazing. It is covered in orchids, ferns, mosses and bromeliads. I bet without the Avatar Experience, it still would have been amazing. 

Afterwards, head to the Supertree Grove for the sound and light show. It is the perfect way to spend the evening at Gardens by the Bay.",5,arts,https://s3-media0.fl.yelpcdn.com/bphoto/m-2tOuoi6xW3pzDo9v0fYA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/MlpY4qxbAUON9UXFCUXcAg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/wYlS0Rmi-I9Ur-MwA07ANw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/FETZ9IX9MZtoOCWopx1v5w/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/yqUoEl08AzGnvXhD7pIYeA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/g2WTF8vwX156qsBnfToeoA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/jz9MBZ6GecbMpqlndGA5KQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/LOdB0L0g_wS0UuhTFrd0KQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/ad4rJx4KJRA0C13MEzvrgg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/eif5iOilzPl09U6DDQci7A/o.jpg,Cloud Forest; Avatar Experience; Avatar Experience; Avatar Experience; Avatar Experience; Avatar experience; Avatar Experience at Gardens by the Bay; Avatar Experience; Avatar Experience; Avatar Experience,Arts
Cloud Forest,Sydney G.,9/7/2024,"Even with part of it under construction this was still an amazing activity while in Singapore. Plus if it's hot or rainy, this is especially good bc it's enclosed and air conditioned. I would try to time it so you're there for the misting times, which we unfortunately missed (no pun intended) but after seeing photos it seems like it would be worth the time sticking around to see.",5,arts,https://s3-media0.fl.yelpcdn.com/bphoto/ljHVK6uadYQb_uLTt69q1Q/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/UAA_WZuiHX1gebTyc7HMuA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/jHhm5d89joTB7HmgRPM3Nw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/Nn-5RA4NmxQwG59IiZw10w/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/q_aOzkaje-W9mU8EP5AFLg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/htJNB_HIL-9dqpkJ1MPssg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/mSk7-_dczol3hYGnSjQpWg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/9qtIA4V1OCHDhlgjHRrjJg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/OW6WAoWWkRGxZBKI5cqdzA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/udJZKw1gDhqVvO_21IkNrw/o.jpg,,Arts
Cloud Forest,Aimee P.,17/10/2024,"What a dream! the flora. The variety of flora. The flora at every turn.

Must see. Be in awe, leave in awe. 

We were lucky enough that they had the Avatar display when we visited. 

It is cool in the area so it was nice to be away from the blistering Singapore heat.",5,arts,,,Arts
Cloud Forest,Robert W.,17/8/2024,Amazing multi level multi sensory experience at Cloud Forest by the Marina Bay gardens. Every hours there is mist the is sprayed created a cloud like environment surrounding you. It can get quite busy. I suggest coming at night as it's a bit less busy and you also get a different experience with the lights and mist contrasted by the outdoor darkness. It's conveniently located right by the marina bay gardens where you can also catch the outdoor light and sound show by the giant tree forest.,5,arts,https://s3-media0.fl.yelpcdn.com/bphoto/gsiiUXko3anDcXDk0EH03g/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/ibQ8kVfQkCj8assbOG8HUg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/VUZrh745pIdl_H4BGfLpZA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/CnovvLL7T-qHfkTTYDpMGg/o.jpg,,Arts
Cloud Forest,Harun R.,4/6/2024,Honestly this is a great place to visit. To get there you might have to walk a bit of a distance in mostly hot and humid weather.  Inside the natural air-conditioning will be a huge blessing. The beautiful tall waterfall and the walk down from the top.  Unfortunately it is a popular route and you have to work your way between people taking pictures.  Stop at any point and enjoy the view from the inside and outside.  Also to enjoy the flora and fauna all around you. It's a great place to to visit and I highly recommend it.,5,arts,https://s3-media0.fl.yelpcdn.com/bphoto/CIxD2ni1nrYhIBIO9_kcOA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/L4pEmY_nKkdfb71QU9pzKQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/qzN5cVqOPhI3JnZ2awW8ew/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/hdQEId_3c-vUBmDU9GvSFQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/fBTkzdwcGcE5sM2ryuAm1g/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/L030J7TQY_cPTSzpV46ifA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/6Idb5aVt1CBK0E5Yd10YlQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/-RU9lgBWtS45I-Ove3GxtQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/zRVJA1l5a8uOCOovUql0BQ/o.jpg,,Arts
Cloud Forest,Marlon T.,18/7/2023,"Located in Gardens by the Bay, the Cloud Forest is a must-visit attraction, and the highlight for many. The waterfalls are majestic and gardens are impeccable. I went during the Avatar Experience and I was just floored by how detailed and cool everything was presented. I liked the occasionally misting so you really feel like you're on another planet.

If you find yourself in Singapore, you must come here!",4,arts,https://s3-media0.fl.yelpcdn.com/bphoto/gIv0WcodpvvF3AYdWeM4nw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/cvExkHdaI0t0seZRyuslYA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/bZkIqKcHIhBjNFrbonS08w/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/Evw4sE-0GGl__0pUXz7iJQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/YkoMA541f9C2DgygQx-GaQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/j2zKrhZgNVXO2uPnTUVAag/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/mEZSHYXHd4_1h55cZ4z4WA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/z3jZZcCDyKjHgbx_hTzBZg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/MIXXWeWju01w3Hb0wzyD8Q/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/tHwZyU4NW5d_MzPM9BQqgA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/LYU5L4eCWqjKherw9oVNsA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/lmk5edbv_3WsNofI1KY3ZQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/eU48zuB_OaRmI9dgDy4QjA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/-mxXxKmi1Pi2HPxIzvf0og/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/FqXxVJpbDbF3BP6TZl77XA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/1Y_LKnsapBQEUnpsFsr2dQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/VGdDnCezDdD2rRDbKTmBpw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/qDXmeKQ-SD6eg794R5H1Kg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/Hs2FdfBxwlxSIYbDkmSmYA/o.jpg,,Arts
Cloud Forest,Jesse V.,13/9/2023,"This place is amazing. You can find cloud forest inside of Gardens by the bay. You will need to purchase a ticket to go inside of Cloud forest as well as Flower Dome.
It's multiple floors of nature with an Avatar theme, which makes it really cool.
You can send an hour in there just walking around, taking pics, and being in awe.

Definitely recommend going. I would say go closer to sunset for this one.",5,arts,https://s3-media0.fl.yelpcdn.com/bphoto/1ofS2ThWGs9_NlJuGul92g/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/bYtu8tmvp-HL6hKyBPoh3Q/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/4TF8eVDSaLUUosFStQYNfA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/4DteGNK6iFyRc6Rs7J5aFg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/99sfTNrZ8_UJf2vFno8yFw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/kIrKHvW20YcM59EYr0VXXg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/1fJ2yWgmYCjC56oRDV4Rsw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/Uwc1LbQ1RzcgNZMqoooiKA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/IMYm_l64DtAEPjseVoJ6LQ/o.jpg,Cloud forest. Amazing,Arts
Cloud Forest,Jacky C.,9/6/2024,"Visiting botanical gardens are not really my thing, but because of how hot it is in Singapore, it was a nice 2 some hour break from the heat in a temperature controlled greenhouse. There is a lot more to offer than the exotic plants itself, as there's a waterfall upon entering the facility. You can get amazing views of the surrounding areas as you ascend to the top and make your way down. It gets crowded so if you're looking for photo ops, going to need some patience.",5,arts,,,Arts
Cloud Forest,William W.,14/7/2025,"While the interior of this modern building is impressive, the crowds are insane! You move at a glacial pace while thousands of people crowd into a tiny space, slowly navigating the exhibits while uncomfortably close to strangers as you climb higher and higher throughout the tour. It's uncomfortable, congested, and you can count on rude tourists attempting to push their way past.

Visitors are much better off going to the Flower Garden next door, a very open, uncrowded space that doesn't funnel its visitors into narrow spaces, where you're free to walk around in an environment with copious amounts of plants.",3,arts,,,Arts
