company_name,reviewer_name,review_date,text,stars,category,image_urls,image_captions,group
JW Marriott Hotel Singapore South Beach,Caili C.,30/11/2022,"We stayed at the JW for 3 nights during our trip to Singapore and I have to say everything from our room to the hotel amenities are fantastic! We were lucky to be upgraded to a junior suite corner room which to our surprise was huge with a separate living room and 1.5 baths. I loved the layout of the bathroom and the 2 walls of large windows in our corner room bedroom! 

The Executive Lounge is fantastic with breakfast, afternoon tea and hors 'doeuvres daily. The breakfast has a made-to-order omelette and noodle soup bar and rotates the dishes enough that it doesn't get boring eating in the lounge every morning. 

There's also 2 pools which provide nice views of the city (in particular the pool on the 18th floor). They were a bit cold to swim in but I saw plenty of people relaxing around and in the gym in the mornings. 

As an additional note, we mentioned we were staying in Singapore as a part of our honeymoon trip and being Ambassador Elite members, we received a $100 credit towards Marriott activities and tours for our stay from the hotel. This was the first and only time I've received such a nice gift and I was really blown away by the staff here.",5,eventservices,https://s3-media0.fl.yelpcdn.com/bphoto/nG9D-4rZ5h14b2_w0NSgiQ/o.jpg,Hotel pool view,Hotels
JW Marriott Hotel Singapore South Beach,Jennifer W.,1/1/2024,"Classy and modern hotel, easy to reach by MRT. Room was fairly spacious and we had a view of the pool. Bathroom was very large and there was plenty of closet space, plus a couch alongside the entire window. We only stayed one night, so can't speak to a longer term stay, but check-in was very smooth. There was a long line when we went to check-out so a staff member just collected our room keys and asked for the room we were checking out of and I received my invoice via email. 

Our reservation didn't have access to breakfast, and we didn't have time to use the pool, but both looked nice if we had another chance to stay here. There's staff out front that were happy to call a car for you, we didn't need one, but other folks did utilize the service. All in all, it was a pleasant stay, nothing to complain about it.",4,eventservices,,,Hotels
JW Marriott Hotel Singapore South Beach,J V.,6/2/2024,"Stayed here back in mid January. Great location for this hotel. MRT station right next door down below so it's the perfect launchpad for your Singapore exploration. 

As a Lifetime Titanium member with Bonvoy, I was ""upgraded"" to a higher floor room. Unfortunately, the view was lackluster at best.  There was a large overhang sort of thing like an atrium, and so the city view was quite obscured.  Disappointed with the ""upgrade"" but whatever. I've had much nicer upgrades because of my status with other international Marriotts so ymmv. 

The highlight of the hotel is the excellent Executive Lounge. Breakfast and evening selections were numerous and very tasty.  Both Western and Asian foods were available, and service from the dining room attendants was fantastic. 

Won't hesitate to come back despite the lousy room though. Hotel staff, from downstairs to the 2nd floor lounge were absolutely first-rate.",4,eventservices,https://s3-media0.fl.yelpcdn.com/bphoto/TNMqX0gvjwPVi00GPjmfvg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/Rs4JYWamaKy8eogihr1FLQ/o.jpg,Breakfast at the JW; Yummy breakfast offerings,Hotels
JW Marriott Hotel Singapore South Beach,Cindy T.,8/5/2024,"The location is very suitable, and it is very convenient to go anywhere. All the staff are very professional and the service is very good. The room is clean, and you can see the Ferris wheel opposite at night.",5,eventservices,https://s3-media0.fl.yelpcdn.com/bphoto/92GFoN2JKmKGunWFmLS7UQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/X50_unF7RhICBkM9j_lmEQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/rc4dXn5DsZhEad9LrEzmhw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/AvajwZOohs8dKiFd_6O5vg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/UROqZij5vZE5nTewujZpoQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/GG4c14vup7x-2ka3IScsuA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/KWdy0kfmOBWNMu46ipO0Nw/o.jpg,Front door chair; Lobby; Bathroom,Hotels
JW Marriott Hotel Singapore South Beach,Kahealani W.,9/9/2024,"Beautiful and amazing!
I was in awe of how luxurious the grounds are. The moment you walk in, it smells like sandalwood. The lighting and decor are well thought out and elegant. And the elevators?! Just makes you smile every time the doors open.
The staff is welcoming and so helpful. They do their very best to ensure you stay is comfortable. I asked a bunch of questions about the area, and each interaction was great.
Cleanliness is above expectations. Hotel staff clean rooms thoroughly and ensure you have all the amenities you need. 
The location is perfect. You're a 10-15 minute grab ride away from major attractions. Everything you need is within walking distance. Food, bars, restaurants, sites. A lot within 2km. 
I hope I get the chance to come back.",5,eventservices,,,Hotels
JW Marriott Hotel Singapore South Beach,Dominic T.,18/1/2024,A serene and beautiful atmosphere which sets the perfect tone for a relaxing holiday. Such great service. They have a a well equipped gym and a beautiful infinity pool overlooking beautiful Singapore. The hotel is centrally located which makes it easy to get around and has a train station next to the hotel which is an added bonus. The best part of the hotel is their breakfast. It's the best hotel breakfast I have ever experienced. So many options and it was all delicious. Service there was top notch. A big shout out to the operations manager Aliff Khan as well as Chef Soo Kok Ann for going out of their way to accommodate us with our dietary option. Highly recommend JW Marriott if you're looking for a classy and relaxing hotel.,5,eventservices,https://s3-media0.fl.yelpcdn.com/bphoto/g9niA7L-zGJ8WBY0zFGF-Q/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/4CtITEAqXiQsUGX_3hBKSg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/01iM_dqL0CbmfCvY7IGg1A/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/i5Ir8tm71y2G2jxjG0ytWg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/3Jts_gc9tUJIusJ2ZpUBcw/o.jpg,,Hotels
JW Marriott Hotel Singapore South Beach,Andrew S.,28/12/2022,"EDIT: My previous review remains below, however I will say that this Marriott property ""loyalty and guest services manager"" reached out and apologized that we were unsatisfied with the room, and that she would attempt to find another equivalent room at a higher floor. In the morning we were made aware that our new room was made available, I was a little bit confused as I hadn't made a request to move rooms, nor made aware of any of the details of the move. We were just told to pack, they'd move the luggage, and give us the new keys. Upon arrival, we both immediately noticed that the room was significantly smaller. Like 15-20% smaller, and that's being conservative. At this point I'm a little bit frustrated that we moved from a room with a bad view, to a tiny room with a different view, just 3 floors higher. We then received an email that our room was DOWNGRADED to a deluxe room in order to get a higher floor, with only a $47 compensation for the remainder of the days. What the heck?! That barely covers a single burger off the room service menu here. Following that, we complained and requested an equivalent room rather than a downgrade. This is where the great tour of the JW Marriott occurred. We were then moved to floor 8, where upon entering the third room we were offered, I noticed a very murky almost 'wet-dog' smell. Upon further inspection, I found a lot of stains in the carpet that I assume was either blood or feces. Off the side of the bathtub, there was actual fecal matter--showing the quality of housekeeping in this property. At this point I was exceptionally irritated by the search to find an acceptable room. Fourth time, the manager we were working with personally inspected the room, it was the cleanest of the rooms, but still had what I can only assume is bed bugs ingrained in the carpet. And the AC does not function at all in the last room. We gave up trying after running around, packing and unpacking our belongings over the span of 4 hours --which would've better been spent exploring Singapore instead of wasting our time finding an acceptable room. The only offer we received for the inconvenience was 10,000 Marriott points ($100 US value), up from 7000 points offered after making the staff aware of the state of the third room.

One thing that really irked me is the fact that the loyalty and guest services manager downgraded our room from premier to deluxe, despite having 2 more 'equivalent' premier rooms available immediately, and without my knowledge nor consent. A real 'punch to the face' if you will.


--Old Review--
Very new property. The whole hotel gives me a bit of a grand and fancy property vibe with the esplanade train connection and number of good restaurants on the basement floor. This hotel has a 5-star location, with 5-star equivalent surrounding amenities, and a 5-star hotel exterior design.

The lobby is however very narrow making it prone to traffic jams, the service at the front desk is quite slow. I think the front desk might've not appreciated my late arrival due to an almost 2.5 hour flight delay - because I was placed in a room below the roof line, where pool-goers have a direct line of sight into my room. This is also with a status that supposedly guarantees a room upgrade when available, but for whatever reason we got no upgrade. Every single person I've ridden the elevator up with has been placed on a high floor, except me. Strange. The service staff lacks the warmth and welcome that others are trained to never slack on--After staying at multiple high end hotels (Conrad, Shangrila, Aman, Ritz, etc) I can positively say that JW lacks everything in the hospitality and service that higher end hotels offer. Just as an example--when arriving at the Ritz just down the street we were given a warm welcome and a tour of the facilities, and the were made aware of all of the hotels exits. The only 'welcome' we got was from a staff member who said 'Merry Christmas, by the way the wifi is out - so if you want food, write it down on a sheet of paper'. Yikes. The minibar and room service is horrendously overpriced--even compared to the ritz, the included amenities are very cheap. I noticed there's even paint peeling inside of my room. On the second day I noticed room service hadn't set the bed properly, so the fitted sheet was just laying on top of the bed. The shower drain is absolutely caked in mold/mildew so I have no doubt that they never clean the area properly as well. There's just so many details that make me believe this isn't worthy of a 5 star rating.",1,eventservices,https://s3-media0.fl.yelpcdn.com/bphoto/iTNUjzClvUMykTMKkCutlg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/tfFYigY4ki9VTo3_XyTz5A/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/HTHhGEgtbmtgIW0qBw8lXQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/vMhLcmP1EnvHhFoQi_b9-g/o.jpg,Yikes. Worst rooms to be in (All floors below the 8th floor),Hotels
JW Marriott Hotel Singapore South Beach,Luzcel T.,25/6/2023,"Spent 4 days here while visiting our granddaughter. We stayed in their family room which has a king-sized bed, as well as a queen-sized sofa bed, which was perfect for a party of 4 with a baby. The check in process was seamless. We requested for a crib and was surprised to see a pouch of baby toiletries, that we didn't ask for. That's Marriott going above and beyond. Unfortunately, we didn't get the side pillows of the crib that we requested from housekeeping who came for our turn down service. I don't know if it was communication barrier. She did have a phone with a translator. Otherwise, the service was excellent. We had access to the Executive Lounge and that did not disappoint. They have a different theme everyday. The 2 days we accessed it, they had Korean and then Japanese. I especially love the noodle counter. They have a good variety of food, from cheeses to gravlox to cold cuts, salads, fruits and pastries. noodle and several main dishes everyday. That is breakfast, afternoon tea, hors d'oeuvres, and evening cocktails. The staff here are very attentive and accommodating. I have to mention, Hazel, who made sure to make us feel at home. Special thanks to Gabriel who gave us wonderful restaurant recommendations. Both were from the Executive Lounge. If you don't have access to the Executive Lounge, still not a problem since there are a lot of restaurants as soon as you step out of the hotel. The MRT is just a few steps away, too.",4,eventservices,https://s3-media0.fl.yelpcdn.com/bphoto/koiuMoSa75HNvqOrjLfLag/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/zQddmSBr6cAwTEUIjN_q9w/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/rmSk70Jf4OnM2IgSq_S0mw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/GZ59Ec5Makqh8NxuRuwBOA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/koMB8eJewOLNmU13zYAbwA/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/1WydqPeRFHQmv3Qlj6cdeg/o.jpg,Pool on the 18th floor; Korean food at the Executive Lounge; 18th floor pool with a wonderful view; Bar at the Executive Lounge; Desserts and fruits counter at the Executive Lounge; Noodle counter at the Executive Lounge,Hotels
JW Marriott Hotel Singapore South Beach,Lisa G.,7/1/2025,"We stayed at this property prior to sailing to Thialand, Vietnam and Hong Kong in November 2024!!! EVERYONE....I mean EVERYONE from the valet parking attendants to the front dest were absolutely wonderful. I have to give top KUDOS to the Concierge and William!!  Everyday they went out of their way to ensure ALL guests were accommodated. I asked for a few snacks from the breakfast line and was surprised to return to our room from a day exploring/visiting Malaysia to find the same snack in our room...was I surprised and greatly appreciative of their attententiveness!!!  William was so willing to take pictures with us as we were departing of the beautiful Lobby mural.  When I return to Singapore..it is without a doubt where I will stay and highly recommend this property!!! The hotel is conveniently located to get you anywhere you want to go!!! The Metro in below the hotel..the city is CLEAN and SAFE!!!",5,eventservices,,,Hotels
JW Marriott Hotel Singapore South Beach,Patrick P.,14/12/2019,"I'm halfway through my stay here at this Marriott property and I felt compelled to write a review even before the end of my stay because I felt so strongly about the quality of my stay so far.

I arrived after midnight and was immediately greeted at the door by an employee who helped unload my bag out of the taxi and physically walked me to the front desk. I had been flying for the past 24 hours and took 3 separate planes to get here, normally I would take care of myself but it was all I could do was drag myself behind him to check in.

The team at the front desk was cordial, helpful and fast with getting me what I needed to get upstairs as quickly as possible. I travel frequently for work so I have status with Marriott. It allowed me to request an upgrade from my standard room with two twin beds into a corner suite that essentially is about as large as my 2B2B condominium in Chicago. The views are pretty sweet- I'm looking at the famous Raffles hotel and there's even 1.5 bathrooms for me. I'm sure if I had more than one person staying in here we would have use for the main living area as well as the extra half bathroom but I'm not someone who would need any of this.

The bathroom has a full tub and shower with multiple spray options for those who like to take their time getting ready in the morning.

With my status comes access to the Executive Lounge- where there is a daily buffet from 6-10:30 for breakfast, which has just about everything you can think of- very eclectic so there's something for everyone. Local flavors, classic N American style meats, fruits and charcuterie and smoked salmon. Bread, cereal, omelette/egg stations round out your choices. Tough not to overeat and breakfast isn't generally something I usually indulge in. 

They offer afternoon tea service daily from 2:30-5, and hors d'oeuvres from 5:30-7:30 (along with cocktails from 5:30-9:30. The small items they advertise are basically good enough to substitute for dinner. Today they had the bread, salad, fruit station, warm bao with BBQ meat, charcuterie and small bites like burrata with diced tomatoes and basil strips served in shot glasses, and fried shrimp, veggie rolls, and other stuff that anyone can find something to satisfy their desires. 

Also there's  a dessert table with various local delicacies, tarts, and you could hit up the fruit station if you're still hungry. I had a chance to speak 
with Chef Arjun about how great my experience with the lounge food has been, from trying local dishes to various items from the mix of cultures that visit or have immigrated to Singapore. I especially noted to Arjun how much I appreciated the authenticity of the dishes- I tried curried potatoes as a side for breakfast and it was nothing I was accustomed to. He asked if I would be back tomorrow for the cocktail hour because he wanted to prepare something special for me. I'm unfortunately going to be on a bus tour tomorrow night but I'm looking forward to Monday's event just because nobody has ever offered something like this before and it was definitely flattering.

If you need to get local currency, the front desk can accommodate you. I'm sure the concierge can hook you up with whatever you're looking to do here. The hotel is pretty much going to come through wherever, and whenever you need something. 

We are above an MRT station, there's plenty of restaurants and beverage options nearby and you can get anywhere you need to easily. On the recommendation of the front desk associate upon checking in, I downloaded the App: Grab, which is like Uber, Grubhub, Expedia and Ticketmaster all mashed up in one. You can get a car or taxi ride for cheaper than flagging one down. 

I've got just about three nights left, and I am going to enjoy the rest of my stay before flying home to Chicago. 

If you have a chance to pick where you're planning on staying I suggest you consider this property. Newer building, impeccable service, and great location. I'm coming back for certain. And I'll stay longer than five nights so I can adjust to the time change much easier than this past trip. 

Before I leave I'm going to eat at Akira Back's place and treat myself to a fantastic last meal for this visit. 

PS- if you like coffee there's a Starbucks within 50 yards of the front entrance.",5,eventservices,https://s3-media0.fl.yelpcdn.com/bphoto/0RodwdJGiIYEZBeVUwOZIQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/5urtj23cYvNXP0E1mGY3UQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/aFPWLmQ5oRHBYseGD7y1MQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/pnVofW5iCC3Tkwf_wotXwg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/ZcCmk1AFNBPnSTicZc3XJw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/U6hJqv5PszmQwAoWE64GMg/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/QdYLtabsN0LCl2K1g5q3yw/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/3d8BqPZR3Cx5JBXQhFXtfQ/o.jpg; https://s3-media0.fl.yelpcdn.com/bphoto/-8G3XM5KnXeyBbVmNTYw0A/o.jpg,"Cool lighting in the elevators; Main living space; View outside one of the windows; Baked beans and a steamed bun with sweet bean paste accompany today's omelette.; Bedroom portion of the suite; Second morning breakfast- rice noodles stir fry, savory route for me; Hors D'oeuvres tonight with white wine. Delicious for those who love trying many different tastes without overdoing it with one dish.; Traditional breakfast omelette, day one.",Hotels
