company_name,stars,text,review_date,category
Little Woods Montessori,5,"We are so grateful that our son's first school experience was with Little Woods. We visited 16 Montessori schools to select the best and most authentic Montessori school and Little Woods was the best one. Pro: School Director's teacher learned directly from Maria Montessori in Sri Lanka (the closest lineage one could find), aircon, loving, kind and passionated teachers, fun outdoor space with cars, tricycle and garden, clean, quality montessori equipments, wonderful yearly show for all classes, comprehensive quarterly reports, communication app, regular photo reports).",2024-08-06T10:15:37.546Z,education
Little Woods Montessori,5,"We’ve enrolled our youngest child in LWM once we arrived in Singapore. It’s been nearly two years and we highly recommend. The teachers are warm, caring and well-rounded. My daughter loves going to school each day and enjoys her time there.",2024-07-23T07:29:53.340Z,education
Little Woods Montessori,5,"LWM is a fantastic school.  We did not want a place that would be too heavy with academics on an 18-month-old but rather a place that would teach our daughter how to socialize, learn about the world, make friendships and have the type of school experience every 18-month-old should have.  We got that and more.  Such caring teachers and administrators, a bright friendly atmosphere and a focus on excellence in what they do, makes LWM a great place.  Highly recommended.",2020-03-18T04:03:40.584Z,education
Little Woods Montessori,5,"I had stalled sending my son (second child) to preschool after we moved to Singapore simply because I could not find a preschool that was as wonderful as the school his older sister had attended in our home country. I visited what seemed like every single preschool in our area and none of them ""clicked"" for me. That was until I visited Little Woods Montessori in Gentle Road. From the moment I stepped into the light, bright and beautiful ground-floor converted home - I knew I had finally found my son's preschool! The surroundings are so wonderful for a young child, it really feels like a home away from home rather than a learning institution. I was most impressed that day by witnessing what the children were doing. The activities are so wonderful for the body and mind. My son has absolutely thrived at Little Woods Montessori over the past two years. His fine motor skills are absolutely amazing and his knowledge of the world is beyond his years! The teaching and environment has been so incredibly nurturing. It is wonderful that they get to play outside on the grass playground in the fresh air every day! I have always felt that my son has been in safe hands and the teacher to student ratio is very low so they really get to know your child so well. As a family we have greatly enjoyed the Open House exhibitions over the years and have been amazed by what our son has created. Our only regret has been that we did not keep our son at Little Woods the whole way through until Age 6. We moved him after two years to his older sister's international school for the sake of convenience. At the international school, he is just a ""number"" and I have now realised just how incredibly high the teaching standards and care were at Little Woods! So I would have two pieces of advice for anyone wishing to send their child to a preschool in Singapore: First, you cannot go past Little Woods Montessori for the environment and quality of teaching and care. Second: Leave your child at Little Woods for as long as you can, you will find the standards of teaching and care at the ""big"" or international schools do not compare! We miss Little Woods so much and are very thankful for the incredible time our son has had there and for all of the valuable things that he has learnt.",2020-02-27T03:20:06.241Z,education
BMTC School 4 (Rocky Hill Camp),1,,2025-07-23T04:01:19.459Z,education
BMTC School 4 (Rocky Hill Camp),5,,2025-07-20T13:09:38.537Z,education
BMTC School 4 (Rocky Hill Camp),5,"Tired of staying in the city center? This resort is the perfect getaway!

After a 1h transit from the far East of Singapore, you can disconnect from the world in a place where signals literally cannot reach! Let your mind and body recharge with the relaxing view of the rainforest for as far as the eye can see, and enjoy ready-made meals designed to optimize nutritional content! At night, you can enter a deep, peaceful slumber to the soothing sounds of machine gun fire and grenades.

There are plenty of activities to keep you entertained! From the concrete running track in the middle of an unsheltered field, to the swimming pool that is chlorinated on a regular basis, you'll find yourself in top physical shape in no time! You can interact with exotic wildlife, such as monitor lizards, centipedes, mangrove vipers and even king cobras! You'll also have plenty of abandoned buildings to explore at night, just don't get too friendly with any of the residents.

All these and more, for the low, low price of your hair, your NRIC, and your freedom. Book your stay now!",2025-07-03T04:34:27.627Z,education
BMTC School 4 (Rocky Hill Camp),3,This was where my bmt was in 1990. Lots of memories but none pleasant,2025-06-26T00:32:33.351Z,education
BMTC School 4 (Rocky Hill Camp),1,PTSD,2025-05-13T09:24:21.989Z,education
BMTC School 4 (Rocky Hill Camp),5,,2025-04-17T00:20:40.449Z,education
BMTC School 4 (Rocky Hill Camp),5,best resort,2025-04-07T09:56:24.955Z,education
BMTC School 4 (Rocky Hill Camp),5,Hell yeah,2025-02-08T14:04:16.652Z,education
BMTC School 4 (Rocky Hill Camp),1,,2025-01-04T11:49:13.300Z,education
BMTC School 4 (Rocky Hill Camp),2,cool military school this is where i joined the singapore military but i have to only give it two starts because i could hear li chung rolling his balls all night and we told him to stop but he didnt care,2024-12-23T00:33:46.290Z,education
BMTC School 4 (Rocky Hill Camp),4,met a ghost here once when i was in yankee platoon 1 section 2 bed 4. it was a horrifying experience but the ghost told me her life story then proceeded to hump my buddy in bed 3.,2024-12-17T11:49:45.854Z,education
BMTC School 4 (Rocky Hill Camp),5,,2024-11-25T10:52:22.494Z,education
BMTC School 4 (Rocky Hill Camp),1,I still have nightmares decades later,2024-10-10T09:35:54.668Z,education
BMTC School 4 (Rocky Hill Camp),1,Sorry PES F dont ask me,2024-07-24T19:12:04.388Z,education
BMTC School 4 (Rocky Hill Camp),5,Best resort in Tekong.,2024-07-08T23:44:35.172Z,education
BMTC School 4 (Rocky Hill Camp),5,"I would definitely recommend staying at this resort for all tourists planning to visit Rocky Hill Nature Reserve. I thoroughly enjoyed my stay in the deluxe 16-man forest villa as our suite enjoyed a panoramic forest view, as well as a beautiful view of the hotel lobby (parade square) from the balcony. Guests of the resort are sure to encounter some of the exotic native wildlife such as primates, bats and several avian species. If you are lucky, you may also be able to partake in a unique safari experience where the wildlife comes inside the villa itself, offering you a more intimate and unique experience. However, guests are advised to hide any snacks inside their state of the art metal finish wardrobes. Speaking of food, the resort offers a more pleasant dining experience than the Tekong Riviera Grand Hotel, but you may find the chicken a little… medium rare but also quite dry and stringy. additionally, the fried rice or noodles are occasionally dripping with oil… how generous! despite some minor drawbacks, the bistro here certainly offers a finer dining experience than the dining halls at Ladang, and i must commend the variety of assorted free-flow beverages provided. Guests can also look forward to enjoying the weekly yacht service which shuttles them between the main island and the resort. The hotel staff are also not exactly friendly and shout at guests from time to time, but were still marginally better than what i expected before my stay here. Despite the apparent poor service of the staff, i still grew to see them with much endearment, and so did i enjoy sharing a suite with my fellow guests. Overall, i would say this is truly a unique resort concept, especially for those looking for an immersive ah boys to men experience.",2024-06-22T14:00:38.977Z,education
BMTC School 4 (Rocky Hill Camp),3,,2024-04-02T02:53:51.966Z,education
BMTC School 4 (Rocky Hill Camp),5,"Josepchoo
Home
OK
8.00pm
8,30pm
22.00pm",2024-02-16T10:24:30.077Z,education
BMTC School 4 (Rocky Hill Camp),3,"Many one-way roads leading to dead ends or locked gates, monkeys and boars often seen.",2024-01-14T06:57:49.266Z,education
BMTC School 4 (Rocky Hill Camp),1,,2023-12-31T11:49:04.028Z,education
BMTC School 4 (Rocky Hill Camp),3,I felt the spirit of remedial training enter my body when I ran on the track.,2023-08-01T06:22:02.074Z,education
BMTC School 4 (Rocky Hill Camp),5,Still haven’t Ord skill issue,2023-05-17T11:49:36.465Z,education
BMTC School 4 (Rocky Hill Camp),4,"School 4 is around 4km away from the rest of Tekong Resort's schools. Travel time depends on how fast your tonner driver wants to go and whether he cares about passenger comfort when going over the 1001 speed bumps on Tekong Highway.

Here is the place where you really feel like you're in the army. You will hear the glorious sound of gunfire day and night. You will also be close to nature and experience real-life combat when you have to fend off monkey raids. If you're lucky, you might even come across a pangolin.

Despite its remote location, Rocky Hill has everything you need - well-equipped medical facilities, a swimming pool and the best food on Pulau Tekong. Like the other schools, you will also have a complimentary 5-day outdoors experience, where you can bathe in the organic and natural mud of Pulau Tekong.

And to recruits, if you end up here you can give up on your M1 subscription. M1 never works here.",2023-05-08T06:09:44.914Z,education
BMTC School 4 (Rocky Hill Camp),5,Complimentary land transfer upon arrival - number off on vehicle always ends up with extra head count :),2023-04-30T13:44:00.231Z,education
BMTC School 4 (Rocky Hill Camp),3,"School 4 is located 30-40 mins drive from the main area. It has notably more wildlife as the complex is surrounded by nature compare to schools 1-3 which offer each building protection from too much wildlife.

All needs are still met in school 4 thou and arguably the food has been noted to not be as fresh from the main complex. However cell signal is still strong in this neck of the woods abiet this was about 10 years ago now.

Interesting the craziest thing that happened was birds ? flying into the window because they didnt expect a building in the middle of the jungle. Otherwise during my time, no wildlife ever really disturbed us nor did i see anything dirty.",2022-11-17T07:53:02.308Z,education
BMTC School 4 (Rocky Hill Camp),4,"Private island, free food, free accomodations.",2022-09-07T13:12:16.883Z,education
BMTC School 4 (Rocky Hill Camp),3,,2022-09-07T06:12:30.939Z,education
BMTC School 4 (Rocky Hill Camp),4,Great place for staycay. Would’ve given 5 stars but sadly no due to no bathtubs,2022-06-24T19:56:05.329Z,education
BMTC School 4 (Rocky Hill Camp),5,"Truly a quality place to spend 4 months or 5, if you’re lucky! Great facilities like gym (closed due to covid) and one of the best swimming pools on the island. You are surrounded by the rainforest which allows you to see wildlife up close when you go for guided tours (route march) of the place. Since you’re far away from the ferry terminal you’re treated to lovey unobstructed views of tekong scenery and a great big blue sky though personally the workout program for guests have us facing the ground more than the sky. Weirdly they ask guests who are unwell to help out with different tasks that the caretaker is supposed to do.",2021-04-16T05:42:07.521Z,education
BMTC School 4 (Rocky Hill Camp),5,,2021-04-05T05:18:20.968Z,education
Basic Military Training Centre,5,,2025-08-12T04:43:34.522Z,education
Basic Military Training Centre,5,"Tekong is like a pilgrimage for the bois.
This place will change you inside out for the better, free of charge plus you get an allowance of an intern for 2 years while others not serving are earning more. Its like you are given a challenge quest to survive 2 years with fix allowance.
If you survive this, you'll survive anything the world throws at you.

Don't go toilet alone btw, call your buddy to follow you.

Major Cons: You might risk losing your GF, or maybe not.
Major Pros: You get to weed out fake love easily, it's not a test for you, it's a test for her. lol

10/10 good experience.",2025-08-12T01:07:24.417Z,education
Basic Military Training Centre,5,Best free restaurant and accommodation with 24/7 fitness center. Guarantee weight lost and improve in endurance.,2025-07-21T09:02:14.192Z,education
Basic Military Training Centre,1,,2025-07-21T06:34:00.286Z,education
Basic Military Training Centre,5,"⭐⭐⭐⭐⭐ ""Best All-Inclusive Bootcamp Experience in Singapore!""
Where else in Singapore can you get free food, free transport, free lodging and still get paid for showing up? That’s right — welcome to NS, the country’s most exclusive all-male wellness retreat (ladies, your turn is coming 👀).
Think of it as a 2 months-long all-expenses-paid bootcamp:
Meals provided (portion-controlled for maximum gains!)
Transport included (you will march to your destination)
Accommodation in charming shared rooms with authentic military décor (read: bunk beds and no aircon)
Fitness plan so effective, you’ll never need a gym membership again.
Weight gain? Not possible. You’ll lose calories just from standing still under the sun.
The staff (affectionately known as sergeants) are super hands-on and very vocal with feedback. Sometimes they yell, but it’s only because they care... deeply about uniform standards.
Highly recommended for anyone aged 18+ with a strong sense of patriotism, or at least no legal way to say no.
Pro tip: Always carry a water bottle, and never — never — ask “Why?”. Just say “Yes, Sergeant!” and everything will be fine.",2025-07-04T08:04:50.616Z,education
Basic Military Training Centre,3,,2025-07-03T09:53:41.498Z,education
Basic Military Training Centre,1,Bro my boy has to come here next year why you taking him,2025-07-02T12:14:28.488Z,education
Basic Military Training Centre,5,"Great experience! It comes with free daily PTs, free accommodations and even free food. You get a million dollar view of the ocean and trainers that ensure you get 7 hours of uninterrupted rest. At night you get to navigate through the jungle and sleep with the wildlife.
10/10 would NEVER go again",2025-07-01T14:46:55.626Z,education
Basic Military Training Centre,5,,2025-06-18T15:00:47.926Z,education
Basic Military Training Centre,5,,2025-06-13T10:46:04.672Z,education
Basic Military Training Centre,1,"Old and run down buildings and toilets. Toilet seats are rusted it’s not even comfortable sitting down on, and sometimes you can find poop on the shower floor.",2025-05-19T08:44:38.346Z,education
Basic Military Training Centre,5,best food and best accommodation here everything here provided sia comparable to the beach resorts in thailand and batam,2025-05-16T07:57:44.265Z,education
Basic Military Training Centre,1,,2025-04-27T08:05:51.282Z,education
Basic Military Training Centre,5,Idk never been there. Im malaysian,2025-04-11T17:24:56.329Z,education
Basic Military Training Centre,1,Most depressing place on earth,2025-02-08T14:03:58.799Z,education
Basic Military Training Centre,3,,2025-02-01T05:52:27.558Z,education
Basic Military Training Centre,5,"Josepchoo
Home
OK
8.00pm
8.30pm
22.00pm",2025-02-01T02:40:47.352Z,education
Basic Military Training Centre,5,BMTC Cougar Company 2008 May. Most fun time of my NS life...better than OCS or unit TBH.,2025-01-25T15:24:33.851Z,education
Basic Military Training Centre,1,"no hair, no rights, no responsibilities",2025-01-14T05:42:20.286Z,education
Basic Military Training Centre,1,Still have nightmares,2024-10-10T09:33:13.099Z,education
Basic Military Training Centre,5,"Man I really miss BMT, that's because my experience was enhanced thanks to amazing sergeants and enciks.

✅️SAF 8 Core Values
✅️Exercise Sessions
✅️Basic Military Skills
✅️Delivered their mission and vision",2024-10-06T11:49:27.315Z,education
Basic Military Training Centre,5,Chef's kiss,2024-09-27T11:00:40.167Z,education
Basic Military Training Centre,5,"tekong resort was fun, all nsf defo would wna come back no cap, food is bttr than any Michelin starred restaurant food so bomb I wna ooc so I can redo bmt to eat the food here! anyone that complain here jst nvr had gd food in their lifetime istfg",2024-09-07T04:19:38.523Z,education
Basic Military Training Centre,5,"Got to experience the exclusive Rocky Hill package during my all inclusive stay, where I was provided a complimentary jungle tour en route to my room. The staff were highly interactive and committed, even offering to accompany us wherever we went throughout out stay. The highlight of our stay was a jungle outing where we learnt key jungle survival skills such as how to everything out and put on face paint. Overall a fun experience that I would recommend :)",2024-05-23T05:42:48.749Z,education
Basic Military Training Centre,5,was here back in 2020. One of the few places overseas that you could go to during the pandemic. Social distancing measures were excellent and staff ensured everybody adhered to the strict SDM rules. Got to stay at the exclusive rock hill resort and was treated to many wildlife encounters.,2024-05-03T07:43:27.367Z,education
Basic Military Training Centre,1,"for the guys, this is where you come to realization that being a singaporean sucks.
you’ll spend two best years of your life dealing with incompetency.
it’s no wonder singapore is plagued with mediocrity.",2024-04-23T01:39:06.975Z,education
Basic Military Training Centre,4,,2024-04-02T02:53:23.975Z,education
