company_name,stars,text,review_date,category
Apex Medical Centre Pte Ltd,1,"do not be in healthcare industry if you lack basic empathy. Counter staff in her 30s were extremely rude, shouted at my elderly grandma. We spend money to see doctor because we are ill, not to be scolded. Come at your own risk.",2025-04-01T10:46:33.037Z,Food & Beverage
Apex Medical Centre Pte Ltd,1,"I was told by one of the clinic assistant at 615pm that the doctor would be available at 7pm, with my turn likely around 8-830pm. This is frustrating, as if the clinic had answered my call earlier and issued a queue number, I could have gone home to have dinner, shower, and return on time. Instead, I had no choice but to wait at the clinic, as going home would have been too rushed and risked missing my turn.

I attempted to purchase medication but was met with unhelpful and poorly trained auntie staff who was unable to advise me on suitable options based on my prescription history. The lack of professionalism and competence from the clinic assistants is deeply disappointing.

I have decided not to return to this clinic and will lodge a formal complaint with the MOH and inform the area MP. Patients deserve better service and proper training for clinic staff to avoid such inconveniences.",2025-02-11T11:40:51.264Z,Retail
Apex Medical Centre Pte Ltd,1,"If you’re looking for poor diagnosis, wasted time, and rude customer service, this clinic is the place to go.

I had the unfortunate experience of visiting this clinic twice in 2024, both times being consulted by Dr. Goh.

1.	August 2024 – I sprained my thumb, and the pain extended to my wrist. I explained that I couldn’t move my thumb, and my wrist was in significant pain. Dr. Goh briefly examined my wrist and simply stated that it was sprained. He prescribed ointment, but the pain worsened over the next week. I later visited a polyclinic where the doctor provided a more thorough assessment, diagnosing a nerve injury in my wrist that required a steroid injection. After being referred to a hospital and receiving the injection, I recovered fully within three days.

2.	September 2024 – I experienced heavy menstrual bleeding for two weeks. Dr. Goh advised me to take Norethisterone for 20 days to stop the flow. When I asked if it was necessary to take it for so many days, he insisted it was. He also added that I should take high blood pressure pills, despite me telling him I don’t have high blood pressure. He tested my blood pressure three times and insisted it was abnormal. I explained that I’ve had low blood pressure most of my life and that the elevated reading might be due to panic after bleeding excessively. He refused to reconsider, claiming that high blood pressure pills would reduce the bleeding. When I tested my blood pressure at home, it was normal.

3.	Patient Privacy Concerns – There’s absolutely no regard for patient privacy in this clinic. Two of the counter staff (packing medication and collecting payments) are respectful, speaking softly when dealing with patients’ personal information. However, the two seated behind the counter never get up and instead shout out patients’ full names, NRIC numbers, house addresses, and phone numbers for everyone to hear. During both of my visits, I witnessed them shouting at elderly patients. On one occasion, an elderly man mentioned it was his first time at the clinic, and the staff loudly responded, “Why must you come here?” I also saw a middle-aged woman buying medication without her physical NRIC. Instead of proper verification, the seated staff simply asked her to recite her NRIC number and proceeded to sell the medication. Isn’t this dangerous? Why isn’t there a proper process in place? People come to the clinic unwell – the least they deserve is respectful treatment.",2024-10-02T16:18:30.943Z,Arts
Apex Medical Centre Pte Ltd,1,They have the worst clinic assistance. All the new faces are super rude,2024-09-05T02:06:05.534Z,food and beverages
Apex Medical Centre Pte Ltd,1,Suspected dengue last monday but dr goh dismissed me and refused to address it. Prescribed me antibiotics which to i had an adverse reaction to - stomach was in intense pain. Had to go back to dr tay last wed to get meds for my stomach.. went to poly clinic on saturday due to rashes appearing. It has been a week and not surprised that it turned out i had dengue. Dr Goh not only diagnoised me incorrectly.. he even prescribed me meds that i didn't need which caused a whole new issue.. disappointing,2024-07-01T06:48:14.442Z,Retail
Apex Medical Centre Pte Ltd,3,Went to Dr Goh a few days ago and I suspected that I had gotten phytophotodermatitis from googling online but the doctor said its not. So i went to National Skin Centre just for the doctor to confirm that it's indeed phytophotodermatitis LOL,2024-06-04T15:30:28.660Z,Food & Beverage
Apex Medical Centre Pte Ltd,1,"Staff had no idea what they are doing. Asked for nebulizer and the staff mention that they have it but required to see doctor. After seeing doctor, it turns out that they don't actually have a working one. This could have cost a life.

Do not recommend coming if there's emergencies.",2022-11-24T11:29:55.235Z,retail
Apex Medical Centre Pte Ltd,1,Good doctors. Poor poor counter staff service display. Been there for my whole life their service was from bad to worst. Staffs have bad attitude and always show patients their anger face. Talk to them nicely never ever reply in good manners. Young and even the old ones are rude too. Apex Medical boss you need to send them to customer service course or maybe they want a pay rise?? 🙄,2022-10-09T03:08:47.652Z,Arts
Apex Medical Centre Pte Ltd,1,"Receptionist say to wait about 1 hour but I was waiting there for 2 hours. Waiting is okay, but the fee they charge also high. I see doctor is about 5mins plus plus, consultation charge is $42 yet include medicine.",2022-09-26T03:02:47.811Z,education
Apex Medical Centre Pte Ltd,2,"Dr Ling is always my favourite doctor but I don't understand why Apex charge so much higher now. Can you imagine paying $80 just for cough?
The nurse said computer spoil for 1 month so no government subsidies and won't have for future too. Is there something wrong that we don't know? Only thing I can think of is something happened that caused government to removed the subsidies for this clinic?",2022-06-10T00:14:20.365Z,food and beverages
Apex Medical Centre Pte Ltd,1,"The service was really horrible. Just wanted to take a blood test,and they said I must walked in a 730. The staff perviously told me that I can come an hour later when I called at 730 for a blood test. I went down and the staff was really rude to me and said I cannot take at this timing. What's more is that I came down twice early morning and they rejected me. Really bad stuff service.",2022-05-07T01:24:24.374Z,education
