company_name,stars,text,review_date,category
CO-OP,1,"waited almost an hour for my food, just for them to have forgotten my order. asked for a refund and miraculously the order immediately comes out. could do better in terms of service and waiting times.",2023-01-16T05:36:59.555Z,food and beverages
CO-OP,4,"Quite a small shop, but love the services provided!",2021-08-27T08:25:14.195Z,food and beverages
CO-OP,4,,2020-01-17T09:41:39.968Z,food and beverages
CO-OP,3,"Only students and staff can go in. Co-op very small, nothing much in there.",2019-08-28T04:54:39.184Z,food and beverages
CO-OP,5,,2019-03-22T08:07:30.631Z,food and beverages
CO-OP,2,"Takes an infinite amount to service. By the time your food arrives, you no longer want to eat. The quality is good though. But I hate the longer wait time.",2017-11-16T11:32:28.693Z,food and beverages
CO-OP,5,便宜的NTU纪念品 办卡九折,2017-02-17T14:22:06.574Z,food and beverages
CO-OP,5,This Co-op shop is promoting products created by students and alumni.,2016-10-03T02:37:17.483Z,food and beverages
Ding Ji,3,,2023-12-08T15:26:59.044Z,food and beverages
Ding Ji,5,新的泰国餐，真的很好吃,2022-12-06T07:56:31.759Z,food and beverages
Ding Ji,2,,2022-10-27T13:41:07.743Z,food and beverages
Ding Ji,4,价钱公道，食物好吃。,2021-10-07T04:21:28.918Z,food and beverages
Ding Ji,4,,2021-03-14T10:48:15.990Z,food and beverages
Ding Ji,2,,2020-10-03T03:55:19.843Z,food and beverages
Ding Ji,5,One of the best Noodles ard,2020-09-19T06:36:57.959Z,food and beverages
Ding Ji,5,,2020-09-06T05:51:11.728Z,food and beverages
Ding Ji,1,,2018-11-27T11:12:28.344Z,food and beverages
Dragon Seafood 龍海鲜,1,Lady server has a serious attitude problem,2023-01-17T10:53:19.043Z,food and beverages
Dragon Seafood 龍海鲜,1,"Attitude problem. Looked at menu on top of sign board $5 ( pork rib rice )
Staff collect $6
I asked why. She pointed at the menu on the table. Told me to wait on the spot and not to sit. Apparently there are no table service. Staff was just playing in phone and does not need to serve other customer.

Ok fine. Went for a smoke. Staff just attitude and ask me come collect the food.

Collected the food and saw only two piece of meat.

Good job keep up the good work",2022-12-28T12:48:08.858Z,food and beverages
Dragon Seafood 龍海鲜,4,,2022-11-27T12:11:12.793Z,food and beverages
Dragon Seafood 龍海鲜,5,"Food is really good, except that the order taking lady not so friendly. Hidden gem in the West.",2022-11-21T11:53:09.684Z,food and beverages
Dragon Seafood 龍海鲜,1,stressful experience... alot choices at same place,2022-11-10T04:38:50.825Z,food and beverages
Dragon Seafood 龍海鲜,5,Reasonable price and great food!,2022-09-17T14:47:36.598Z,food and beverages
