company_name,stars,text,review_date,category
COURTS Orchard,5,Thanks Hari for the impeccable service and great help - made the shopping experience  an exceptional one!,2025-08-17T04:50:03.856Z,retail
COURTS Orchard,1,"Visited Courts Nojima on 3 August to explore buying a dryer. Did not expect it to be the start of many troubles.

Was wrongly advised by sales staff regarding the SG60 discounts ($120 off instead of $60) and use of climate vouchers for a dryer (cannot be used) only at the point of purchase. Decided to proceed with buying the Samsung dryer.

After purchase, did not receive any confirmation of notification of delivery of actual date, only a call 10 mins before delivery. Delivery window was 10am to 2pm, and ended up staying home for 3 hours (10am to 1pm) before getting a call that the delivery was coming. Sales staff also was hard to contact regarding delivery (2 to 3h wait, only responded after calling). Understand it was his off day, but Courts should have a staff to cover for him since it still involved deliveries, or have a more contactable number.

Sales staff also wrongly scheduled the Samsung delivery agent, so ended up the agent only came 1 day after the dryer was delivered. Asked for a specific time for the agent to come (3pm) to make up for the mistake but ended up with delaying my delivery window (originally 2 to 6pm) to 3 to 7pm. As of 545pm, the agent is still not here. (Edit: Agent ended up being late, and I was forced to take cab to my appointment)

This is one of my worst sales service to date, from pre to post sales. The only good things about this whole process was the advice given on the right dryer to buy (pre sales) and the free delivery given in an attempt to recover from the mistake in the supposed discount.

Please work on your service processes and sales recovery. It is alarming how poor the standards are.",2025-08-14T11:17:37.270Z,retail
COURTS Orchard,5,"We came here to purchase a TV, and Sales person Jason was very professional, giving us excellent advice. We are extremely satisfied with his service and highly recommend him.
Cashier Jamie was also very kind and helpful. She patiently assisted us and went through the bill with us in detail.",2025-08-09T12:14:53.182Z,retail
COURTS Orchard,1,Slow and unprofessional.,2025-07-10T10:14:42.119Z,retail
COURTS Orchard,1,Faulty products with horrible exchange policy,2025-07-07T08:29:15.376Z,retail
COURTS Orchard,5,"I initially went to Courts Orchard to check out a few items for my new home. I was assisted by Max, who struck me as a very patient and knowledgeable salesperson. He took the time to answer all my questions over the course of more than two hours and demonstrated extensive knowledge of various electrical appliances. Max also offered helpful tips on how to make the most of my purchases and save money at Courts. He also was very flexible in arranging for the payment terms which best fit my needs. Ultimately, I decided to go ahead with the purchase of a Samsung Smart TV and a Samsung Home Theatre system. Highly recommend speaking to Max if you're going to Courts Orchard, as he made my entire experience smooth and easy.",2025-06-08T12:20:30.407Z,retail
COURTS Orchard,5,Fantastic customer service! Just make sure you ask the right person.,2025-05-23T09:26:28.158Z,retail
COURTS Orchard,5,"Bought a dining set. Sales associate Pui Yee is exceptionally helpful, helping us carrying some chairs around to find a good mix and matching colour. Weeks later we had to make changes and cancel part of the purchases still she is very attentive and make sure the refund is processed promptly 👍",2025-05-13T12:27:17.197Z,retail
COURTS Orchard,4,,2025-05-04T11:35:07.246Z,retail
COURTS Orchard,4,Cutest Christmas tree,2025-05-03T05:19:29.617Z,retail
COURTS Orchard,5,"highest compliments to Vijay whom we met at level 1 tv section today. he shared his knowledge with us despite us clarifying we were only browsing this visit. we learnt so much which will help in our eventual tv selection.

thank you Vijay!",2025-04-19T14:19:58.559Z,retail
COURTS Orchard,5,"We had chosen a shaver and were about to pay when Vinh kindly stepped in to assist. He opened the box, patiently explained how to use it, and made sure we were comfortable with our choice. His service was excellent, and we’re very happy with the experience.",2025-04-06T12:39:11.575Z,retail
COURTS Orchard,1,,2025-03-31T09:44:34.188Z,retail
COURTS Orchard,1,Waited for 20 mins to buy an ipad but no sales representative came to attend us.,2025-03-12T12:06:30.540Z,retail
COURTS Orchard,5,"Bought a smart Samsung washer n dryer last weekend. Sales person, Benson Tan was extremely helpful and professional. He patiently explained how the machines worked and how I could easily link it to my phone to remote control it. This is so important to me as I consider myself an IT idiot.
He even took it a step further by giving me his personal number so that I can WhatsApp him if I encounter any problems.
With his detailed explanations n good recommendations,  I easily linked the machines n have done a full load of laundry.
We definitely need more service staff like him. Way to go Benson and a huge thank you for making my day.",2025-03-12T07:28:00.408Z,retail
COURTS Orchard,1,"Been here to see Novita, block by this stp workers got to told her that I  need to go in to have look then only she move a bit. Been there for half any hours no sales coming over. I ask , they say is that same lady the sales. lol.",2025-03-04T08:21:54.680Z,retail
COURTS Orchard,1,"Staff are not very helpful and not knowledgeable about their products and offerings. Even small 7eleven store cashiers are better than these lazy staff.

I bought a camera here that will be used as a gift. No one was around to help, so I went to the cashier area and asked someone to sell the item to me. I specifically asked if the item I will be buying can be returned as I don't want to open the box since it will be a gift I will give on my overseas trip. The guy who helped me said it could be returned after 14 days. I counted my overseas trip days, and if ever there is a defect, I can still return it after my trip.

Armed with this info, I immediately paid for the item. When I double-checked with the cashier about the return policy, much to my surprise, he said the item only has a 1 week return policy. I argued that they falsely provided sales terms and misled me into buying the item. As a compromise, I asked if they could test it instead, though I am hesitant since I want the box sealed when I give my gift - but to add to the incompetence so far, they said they don't have a dedicated salesperson who can test it.

Since they have no solutions for me and we just stared at each other for minutes with no one offering even a simple apology, much less a work around the issue, I just opted to refund the item.

When the person who will process my refund came and asked the guy if I would need a refund, the guy even had the gall to tell her I changed my mind. I didn't let it pass since they are the one who changed the terms of sale right there, not me. Stores usually get sued and fined for this kind of misleading sales, but the staff are not even bothered by the mistake and incompetence they just displayed. In any other setup, this kind of attitude leads to suspension or even dismissal, but I guess Courts Orchard management is satisfied with being mediocre and incompetent.",2025-02-26T15:34:22.297Z,retail
COURTS Orchard,5,"I am writing to express my heartfelt appreciation for the exceptional service provided by Eric Chang from Courts Orchard.

A year ago, I purchased a laptop and a mobile phone from Courts. Due to some delays in delivery, I added Eric, who was at the cashier counter at the time, to my contacts. Recently, one of the items required repairs, and I was unsure how to proceed. Remembering Eric, I reached out to him with the hope that he could assist me.

To my surprise and delight, despite nearly a year passing since our initial interaction, Eric responded promptly and went above and beyond to help me resolve the issue. His professionalism, patience, and dedication ensured that everything was handled smoothly, leaving me deeply impressed and grateful.

Eric’s outstanding service is a testament to Courts’ excellent leadership and management. It is clear that your company values and nurtures talented employees who are committed to customer satisfaction. This experience has reinforced my confidence in Courts as the best choice for quality products and reliable service.

Thank you once again for having such an outstanding team member. I truly appreciate Eric’s help and look forward to continuing my patronage with Courts.",2025-02-19T14:52:48.119Z,retail
COURTS Orchard,5,Huge place for shopping gadgets. Has 2 floors with wide variety of consumer electronics.,2025-02-11T09:30:27.913Z,retail
COURTS Orchard,4,"Staff are sales driven, lack of personal touch. Had a number of impulsive and regretted purchases. It’s my valuable lesson learnt.",2025-01-25T23:01:50.115Z,retail
COURTS Orchard,4,"I was served by Kenneth Oh when I went to Orchard Heeren to buy a TV. He explained patiently additional functions of the more expensive model. I appreciate the fact that he didn’t push me to buy a particular brand or to buy the more expensive model. His manager is Lee. I also want to add that when he was out for lunch, hiscolleague who served me, a tall guy, was also very helpful. Kudos to Courts for employing staff who don’t push a particular brand.",2025-01-19T07:15:12.858Z,retail
COURTS Orchard,1,Super bad. Customer service is horrible. Don't go there.,2025-01-16T14:31:17.750Z,retail
COURTS Orchard,1,"Worse electronic shop in singapore. Just bought a headphone 700sgd. Paid right in shop. Waited 40mn for the salesman telling me « we do not have it in stock » need to come back when we will have it, basically wasting my time again.  What is the pint to go to shop then ? Next I will order on line. Same level of service",2025-01-04T04:01:43.731Z,retail
